Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
Abdullah Mazari,2010-2010,2,1,0,3,3.00,18.75,0,0
Afsar Zazai,2014-2017,17,16,1,264,17.60,54.09,0,2
Aftab Alam,2010-2019,21,13,8,61,12.20,69.31,0,0
Amir Hamza,2012-2017,31,16,9,23,3.28,24.46,0,0
Asghar Afghan,2009-2019,99,93,8,2013,23.68,64.51,1,11
Dawlat Ahmadzai,2009-2010,3,-,-,-,-,-,-,-
Dawlat Zadran,2011-2019,74,50,26,502,20.91,80.06,0,0
Fareed Ahmad,2014-2017,5,2,2,1,-,16.66,0,0
Gulbadin Naib,2011-2019,52,44,8,807,22.41,71.03,0,5
Hamid Hassan,2009-2016,32,17,4,92,7.07,53.80,0,0
Hashmatullah Shahidi,2013-2019,28,28,5,747,32.47,63.35,0,6
Hazratullah Zazai,2018-2019,6,6,0,155,25.83,106.89,0,1
Ihsanullah,2017-2018,16,16,2,307,21.92,69.77,0,3
Ikram Ali Khil,2019-2019,2,2,1,6,6.00,46.15,0,0
Izatullah Dawlatzai,2010-2015,5,3,1,7,3.50,25.92,0,0
Javed Ahmadi,2010-2019,42,39,0,971,24.89,76.21,0,7
Karim Janat,2017-2017,1,1,0,9,9.00,27.27,0,0
Karim Sadiq,2009-2016,24,22,2,475,23.75,80.91,2,0
Khaliq Dad,2009-2010,6,4,1,40,13.33,57.97,0,0
Mirwais Ashraf,2009-2016,46,38,11,387,14.33,71.27,0,1
Mohammad Nabi,2009-2019,111,99,11,2565,29.14,87.18,1,13
Mohammad Shahzad,2009-2019,79,79,3,2562,33.71,88.40,5,13
Mohibullah Oryakhel,2013-2013,2,-,-,-,-,-,-,-
Mujeeb Ur Rahman,2017-2019,28,12,6,41,6.83,91.11,0,0
Najeeb Tarakai,2017-2017,1,1,0,5,5.00,27.77,0,0
Najibullah Zadran,2012-2019,54,50,8,1210,28.80,88.19,1,8
Nasir Jamal,2014-2018,16,14,1,352,27.07,65.54,0,3
Naveen-ul-Haq,2016-2016,2,1,1,0,-,0.00,0,0
Nawroz Mangal,2009-2016,49,48,6,1139,27.11,75.33,2,4
Noor-ul-Haq,2010-2010,2,2,0,12,6.00,20.68,0,0
Noor Ali Zadran,2009-2019,47,46,1,1148,25.51,63.42,1,7
Raees Ahmadzai,2009-2010,5,4,1,88,29.33,64.23,0,0
Rahmat Shah,2013-2019,58,54,2,1822,35.03,69.86,3,13
Rashid Khan,2015-2019,57,42,9,782,23.69,100.77,0,4
Rokhan Barakzai,2015-2015,1,-,-,-,-,-,-,-
Samiullah Shinwari,2009-2019,81,71,10,1737,28.47,64.98,0,11
Sayed Shirzad,2019-2019,1,-,-,-,-,-,-,-
Shabir Noori,2010-2016,10,10,0,191,19.10,63.66,0,1
Shafiqullah,2009-2018,24,21,2,430,22.63,105.39,0,2
Shapoor Zadran,2009-2019,44,27,17,67,6.70,41.87,0,0
Sharafuddin Ashraf,2014-2018,14,9,3,53,8.83,63.09,0,0
Usman Ghani,2014-2017,15,15,0,411,27.40,79.03,1,2
Yamin Ahmadzai,2015-2016,3,2,1,3,3.00,15.78,0,0
Zahir Khan,2019-2019,1,-,-,-,-,-,-,-
Zakiullah Zaki,2012-2012,1,1,1,3,-,13.63,0,0
