Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
Abdullah Mazari,2010-2010,2,2,49,2,1/18,24.50,3.06,0
Afsar Zazai,2014-2017,17,-,-,-,-,-,-,-
Aftab Alam,2010-2019,21,21,797,31,4/25,25.70,4.84,1
Amir Hamza,2012-2017,31,31,1016,40,4/17,25.40,3.92,1
Asghar Afghan,2009-2019,99,7,91,3,1/1,30.33,3.92,0
Dawlat Ahmadzai,2009-2010,3,3,121,1,1/40,121.00,6.48,0
Dawlat Zadran,2011-2019,74,72,3001,103,4/22,29.13,5.30,3
Fareed Ahmad,2014-2017,5,4,143,5,3/65,28.60,5.72,0
Gulbadin Naib,2011-2019,52,47,1360,40,4/27,34.00,5.11,2
Hamid Hassan,2009-2016,32,31,1153,56,5/45,20.58,4.55,2
Hashmatullah Shahidi,2013-2019,28,2,25,0,-,-,8.33,0
Hazratullah Zazai,2018-2019,6,-,-,-,-,-,-,-
Ihsanullah,2017-2018,16,-,-,-,-,-,-,-
Ikram Ali Khil,2019-2019,2,-,-,-,-,-,-,-
Izatullah Dawlatzai,2010-2015,5,5,146,8,4/38,18.25,4.17,1
Javed Ahmadi,2010-2019,42,15,294,8,4/37,36.75,4.83,1
Karim Janat,2017-2017,1,1,31,0,-,-,7.75,0
Karim Sadiq,2009-2016,24,12,201,6,2/10,33.50,3.76,0
Khaliq Dad,2009-2010,6,6,150,9,3/30,16.66,3.57,0
Mirwais Ashraf,2009-2016,46,45,1360,46,4/35,29.56,4.06,1
Mohammad Nabi,2009-2019,111,107,3747,118,4/30,31.75,4.25,2
Mohammad Shahzad,2009-2019,79,-,-,-,-,-,-,-
Mohibullah Oryakhel,2013-2013,2,-,-,-,-,-,-,-
Mujeeb Ur Rahman,2017-2019,28,27,959,51,5/50,18.80,3.74,2
Najeeb Tarakai,2017-2017,1,-,-,-,-,-,-,-
Najibullah Zadran,2012-2019,54,2,30,0,-,-,6.00,0
Nasir Jamal,2014-2018,16,1,7,0,-,-,7.00,0
Naveen-ul-Haq,2016-2016,2,2,111,2,1/49,55.50,6.05,0
Nawroz Mangal,2009-2016,49,16,235,8,3/35,29.37,4.81,0
Noor-ul-Haq,2010-2010,2,-,-,-,-,-,-,-
Noor Ali Zadran,2009-2019,47,-,-,-,-,-,-,-
Raees Ahmadzai,2009-2010,5,1,16,0,-,-,4.00,0
Rahmat Shah,2013-2019,58,20,410,12,5/32,34.16,5.91,0
Rashid Khan,2015-2019,57,54,1845,123,7/18,15.00,3.90,4
Rokhan Barakzai,2015-2015,1,1,45,2,2/45,22.50,4.50,0
Samiullah Shinwari,2009-2019,81,64,1698,45,4/31,37.73,4.93,1
Sayed Shirzad,2019-2019,1,-,-,-,-,-,-,-
Shabir Noori,2010-2016,10,-,-,-,-,-,-,-
Shafiqullah,2009-2018,24,-,-,-,-,-,-,-
Shapoor Zadran,2009-2019,44,44,1589,43,4/24,36.95,4.80,2
Sharafuddin Ashraf,2014-2018,14,14,414,12,3/29,34.50,4.16,0
Usman Ghani,2014-2017,15,2,34,1,1/21,34.00,5.36,0
Yamin Ahmadzai,2015-2016,3,3,90,2,1/23,45.00,5.00,0
Zahir Khan,2019-2019,1,1,55,2,2/55,27.50,5.50,0
Zakiullah Zaki,2012-2012,1,1,27,0,-,-,6.75,0
