Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
SA Abbott,2014-2014,1,1,0,3,3.00,42.85,0,0
AC Agar,2015-2018,9,8,1,144,20.57,86.74,0,0
GJ Bailey,2012-2016,90,85,10,3044,40.58,83.51,3,22
JP Behrendorff,2019-2019,4,1,1,1,-,100.00,0,0
SM Boland,2016-2016,14,4,1,9,3.00,40.90,0,0
DE Bollinger,2009-2011,39,8,2,50,8.33,92.59,0,0
JA Burns,2015-2015,6,6,0,146,24.33,79.34,0,1
AT Carey,2018-2019,14,14,2,349,29.08,82.31,0,0
HWR Cartwright,2017-2017,2,2,0,2,1.00,8.69,0,0
DT Christian,2012-2014,19,18,5,273,21.00,88.92,0,0
MJ Clarke,2003-2015,245,223,44,7981,44.58,78.98,8,58
NM Coulter-Nile,2013-2019,24,17,5,152,12.66,80.85,0,0
PJ Cummins,2011-2019,47,26,10,181,11.31,70.70,0,0
BCJ Cutting,2013-2014,4,2,0,53,26.50,79.10,0,0
XJ Doherty,2010-2015,60,23,16,101,14.42,54.89,0,0
JP Faulkner,2013-2017,69,52,22,1032,34.40,104.24,1,4
Fawad Ahmed,2013-2013,3,1,1,4,-,200.00,0,0
CJ Ferguson,2009-2011,30,25,9,663,41.43,85.32,0,5
AJ Finch,2013-2019,104,100,1,3601,36.37,88.45,11,19
PJ Forrest,2012-2012,15,14,0,368,26.28,65.59,1,3
BJ Haddin,2001-2015,126,115,16,3122,31.53,84.24,2,16
PSP Handscomb,2017-2019,16,15,0,536,35.73,97.27,1,4
RJ Harris,2009-2012,21,13,7,48,8.00,100.00,0,0
JW Hastings,2010-2017,29,21,11,271,27.10,99.26,0,1
NM Hauritz,2002-2011,58,32,17,336,22.40,96.27,0,1
JR Hazlewood,2010-2018,44,13,11,37,18.50,64.91,0,0
TM Head,2016-2018,42,39,2,1273,34.40,90.02,1,10
SD Heazlett,2017-2017,1,1,0,4,4.00,36.36,0,0
MC Henriques,2009-2017,11,10,1,81,9.00,68.06,0,0
BW Hilfenhaus,2007-2012,25,11,8,29,9.66,42.02,0,0
JR Hopes,2005-2010,84,61,8,1326,25.01,93.71,0,3
PJ Hughes,2013-2014,25,24,1,826,35.91,75.09,2,4
DJ Hussey,2008-2013,69,61,6,1796,32.65,90.70,1,14
MEK Hussey,2004-2012,185,157,44,5442,48.15,87.16,3,39
MG Johnson,2005-2015,153,91,32,951,16.11,96.35,0,2
UT Khawaja,2013-2019,26,25,2,966,42.00,83.56,2,7
JJ Krejza,2011-2011,8,2,1,13,13.00,56.52,0,0
B Lee,2000-2012,221,110,44,1176,17.81,83.58,0,3
CA Lynn,2017-2018,4,4,0,75,18.75,84.26,0,0
NM Lyon,2012-2019,20,11,8,69,23.00,94.52,0,0
CJ McKay,2009-2014,59,31,10,190,9.04,56.37,0,0
MR Marsh,2011-2018,53,49,9,1428,35.70,93.08,1,11
SE Marsh,2008-2019,66,65,2,2565,40.71,81.53,7,13
GJ Maxwell,2012-2019,95,86,9,2442,31.71,120.35,1,16
JM Mennie,2016-2016,2,2,0,1,0.50,25.00,0,0
MG Neser,2018-2018,2,2,0,8,4.00,50.00,0,0
TD Paine,2009-2018,35,35,3,890,27.81,70.80,1,5
JS Paris,2016-2016,2,-,-,-,-,-,-,-
JL Pattinson,2011-2015,15,8,4,42,10.50,52.50,0,0
RT Ponting,1995-2012,374,364,39,13589,41.81,80.19,29,82
JA Richardson,2018-2019,10,7,2,68,13.60,80.95,0,0
KW Richardson,2013-2018,18,8,3,45,9.00,84.90,0,0
GS Sandhu,2015-2015,2,-,-,-,-,-,-,-
DJM Short,2018-2018,4,4,1,83,27.66,83.83,0,0
PM Siddle,2009-2019,20,6,3,31,10.33,103.33,0,0
SPD Smith,2010-2018,108,94,12,3431,41.84,86.35,8,19
B Stanlake,2017-2019,7,5,2,4,1.33,14.28,0,0
MA Starc,2010-2018,75,38,16,280,12.72,89.45,0,1
MP Stoinis,2015-2019,28,28,6,947,43.04,94.32,1,6
SW Tait,2007-2011,35,7,5,25,12.50,86.20,0,0
CP Tremain,2016-2016,4,3,2,23,23.00,62.16,0,0
AJ Turner,2019-2019,3,3,1,125,62.50,145.34,0,1
AJ Tye,2018-2018,7,7,3,57,14.25,118.75,0,0
AC Voges,2007-2013,31,28,9,870,45.78,87.17,1,4
MS Wade,2012-2017,94,80,11,1777,25.75,82.11,1,10
DA Warner,2009-2018,106,104,4,4343,43.43,96.55,14,17
SR Watson,2002-2015,190,169,27,5757,40.54,90.44,9,33
CL White,2005-2018,91,77,16,2072,33.96,80.12,2,11
DJ Worrall,2016-2016,3,1,1,6,-,150.00,0,0
A Zampa,2016-2019,39,18,4,99,7.07,63.46,0,0
