Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
SA Abbott,2014-2014,1,1,1,1/25,25.00,5.00,30.0,0
AC Agar,2015-2018,9,9,8,2/48,51.75,5.75,54.0,0
GJ Bailey,2012-2016,90,-,-,-,-,-,-,-
JP Behrendorff,2019-2019,4,4,3,2/39,66.00,5.16,76.6,0
SM Boland,2016-2016,14,13,16,3/67,45.31,6.07,44.7,0
DE Bollinger,2009-2011,39,39,62,5/35,23.90,4.57,31.3,2
JA Burns,2015-2015,6,-,-,-,-,-,-,-
AT Carey,2018-2019,14,-,-,-,-,-,-,-
HWR Cartwright,2017-2017,2,-,-,-,-,-,-,-
DT Christian,2012-2014,19,19,20,5/31,29.75,4.91,36.3,1
MJ Clarke,2003-2015,245,106,57,5/35,37.64,4.98,45.3,1
NM Coulter-Nile,2013-2019,24,24,41,4/48,27.04,5.39,30.0,0
PJ Cummins,2011-2019,47,47,79,5/70,27.25,5.23,31.2,1
BCJ Cutting,2013-2014,4,4,5,3/45,31.60,4.38,43.2,0
XJ Doherty,2010-2015,60,56,55,4/28,40.43,4.77,50.7,0
JP Faulkner,2013-2017,69,67,96,4/32,30.85,5.53,33.4,0
Fawad Ahmed,2013-2013,3,3,3,1/39,48.33,6.04,48.0,0
CJ Ferguson,2009-2011,30,-,-,-,-,-,-,-
AJ Finch,2013-2019,104,15,2,1/2,79.50,5.42,88.0,0
PJ Forrest,2012-2012,15,-,-,-,-,-,-,-
BJ Haddin,2001-2015,126,-,-,-,-,-,-,-
PSP Handscomb,2017-2019,16,-,-,-,-,-,-,-
RJ Harris,2009-2012,21,20,44,5/19,18.90,4.84,23.4,3
JW Hastings,2010-2017,29,29,42,6/45,29.90,5.07,35.3,1
NM Hauritz,2002-2011,58,56,63,4/29,34.15,4.74,43.2,0
JR Hazlewood,2010-2018,44,43,72,6/52,25.15,4.73,31.8,3
TM Head,2016-2018,42,26,12,2/22,61.41,5.78,63.7,0
SD Heazlett,2017-2017,1,-,-,-,-,-,-,-
MC Henriques,2009-2017,11,10,7,3/32,43.71,5.18,50.5,0
BW Hilfenhaus,2007-2012,25,25,29,5/33,37.06,5.30,41.9,1
JR Hopes,2005-2010,84,75,67,5/14,35.58,4.53,47.1,1
PJ Hughes,2013-2014,25,-,-,-,-,-,-,-
DJ Hussey,2008-2013,69,39,18,4/21,38.77,5.22,44.5,0
MEK Hussey,2004-2012,185,13,2,1/22,117.50,5.87,120.0,0
MG Johnson,2005-2015,153,150,239,6/31,25.26,4.83,31.3,3
UT Khawaja,2013-2019,26,-,-,-,-,-,-,-
JJ Krejza,2011-2011,8,8,7,2/28,47.28,4.67,60.7,0
B Lee,2000-2012,221,217,380,5/22,23.36,4.76,29.4,9
CA Lynn,2017-2018,4,-,-,-,-,-,-,-
NM Lyon,2012-2019,20,20,21,4/44,43.04,4.83,53.4,0
CJ McKay,2009-2014,59,59,97,5/28,24.37,4.78,30.5,2
MR Marsh,2011-2018,53,50,44,5/33,35.54,5.52,38.6,1
SE Marsh,2008-2019,66,-,-,-,-,-,-,-
GJ Maxwell,2012-2019,95,73,47,4/46,43.72,5.61,46.6,0
JM Mennie,2016-2016,2,2,3,3/49,43.66,6.55,40.0,0
MG Neser,2018-2018,2,2,2,2/46,60.00,7.20,50.0,0
TD Paine,2009-2018,35,-,-,-,-,-,-,-
JS Paris,2016-2016,2,2,1,1/40,93.00,5.81,96.0,0
JL Pattinson,2011-2015,15,15,16,4/51,42.56,5.62,45.4,0
RT Ponting,1995-2012,374,5,3,1/12,34.66,4.16,50.0,0
JA Richardson,2018-2019,10,10,21,4/26,26.28,5.81,27.1,0
KW Richardson,2013-2018,18,18,27,5/68,31.62,5.48,34.6,1
GS Sandhu,2015-2015,2,2,3,2/49,35.66,5.35,40.0,0
DJM Short,2018-2018,4,3,0,-,-,8.42,-,0
PM Siddle,2009-2019,20,19,17,3/55,43.70,4.94,53.0,0
SPD Smith,2010-2018,108,36,27,3/16,34.48,5.34,38.7,0
B Stanlake,2017-2019,7,7,7,3/35,46.28,5.49,50.5,0
MA Starc,2010-2018,75,75,145,6/28,21.44,4.95,25.9,5
MP Stoinis,2015-2019,28,26,24,3/16,45.29,6.11,44.4,0
SW Tait,2007-2011,35,34,62,4/39,23.56,5.19,27.2,0
CP Tremain,2016-2016,4,4,7,3/64,36.42,6.37,34.2,0
AJ Turner,2019-2019,3,-,-,-,-,-,-,-
AJ Tye,2018-2018,7,7,12,5/46,32.66,6.07,32.2,1
AC Voges,2007-2013,31,15,6,1/3,46.00,5.50,50.1,0
MS Wade,2012-2017,94,-,-,-,-,-,-,-
DA Warner,2009-2018,106,1,0,-,-,8.00,-,0
SR Watson,2002-2015,190,163,168,4/36,31.79,4.95,38.4,0
CL White,2005-2018,91,19,12,3/5,29.25,6.36,27.5,0
DJ Worrall,2016-2016,3,3,1,1/43,171.00,6.49,158.0,0
A Zampa,2016-2019,39,39,53,3/16,35.20,5.62,37.5,0
