Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
Abdur Razzak,2004-2014,153,97,39,779,13.43,76.37,0,1
Abul Hasan,2012-2018,7,3,0,11,3.66,68.75,0,0
Abu Hider,2018-2018,2,1,0,1,1.00,9.09,0,0
Aftab Ahmed,2004-2010,85,85,6,1954,24.73,83.04,0,14
Alok Kapali,2002-2011,69,66,3,1235,19.60,67.96,1,5
Al-Amin Hossain,2014-2015,14,7,5,4,2.00,20.00,0,0
Anamul Haque,2012-2018,37,34,0,1038,30.52,70.90,3,3
Arafat Sunny,2014-2015,16,11,7,48,12.00,52.17,0,0
Ariful Haque,2018-2018,1,-,-,-,-,-,-,-
Elias Sunny,2011-2012,4,4,2,2,1.00,18.18,0,0
Faisal Hossain,2004-2010,6,5,1,43,10.75,47.25,0,0
Farhad Reza,2006-2011,34,31,6,412,16.48,64.77,0,1
Fazle Mahmud,2018-2018,2,2,0,0,0.00,0.00,0,0
Imrul Kayes,2008-2018,78,78,2,2434,32.02,71.10,4,16
Jahurul Islam,2010-2013,14,13,1,270,22.50,72.77,0,1
Jubair Hossain,2014-2015,3,1,0,5,5.00,55.55,0,0
Junaid Siddique,2007-2011,54,53,1,1196,23.00,68.22,1,6
Liton Das,2015-2019,27,27,1,508,19.53,79.74,1,1
Mahmudullah,2007-2019,171,148,38,3673,33.39,75.62,3,20
Mashrafe Mortaza,2001-2019,203,149,26,1738,14.13,87.68,0,1
Mehidy Hasan Miraz,2017-2019,25,16,2,291,20.78,71.85,0,1
Mohammad Ashraful,2001-2013,175,168,13,3468,22.37,70.11,3,20
Mohammad Mithun,2014-2019,15,13,2,360,32.72,74.84,0,4
Mohammad Saifuddin,2017-2019,10,7,1,175,29.16,70.00,0,1
Mominul Haque,2012-2018,28,26,1,557,22.28,74.36,0,3
Mosaddek Hossain,2016-2018,24,20,9,341,31.00,78.21,0,1
Mosharraf Hossain,2008-2016,5,5,1,26,6.50,34.66,0,0
Mushfiqur Rahim,2006-2019,201,187,31,5392,34.56,77.49,6,32
Mustafizur Rahman,2015-2019,43,21,15,57,9.50,50.44,0,0
Naeem Islam,2008-2014,59,51,15,975,27.08,66.19,0,5
Nasir Hossain,2011-2018,65,52,8,1281,29.11,79.81,1,6
Nazimuddin,2008-2012,11,11,0,147,13.36,62.02,0,0
Nazmul Hossain,2004-2012,38,21,13,35,4.37,27.34,0,0
Najmul Hossain Shanto,2018-2018,3,3,0,20,6.66,44.44,0,0
Nazmul Islam,2018-2018,5,1,0,7,7.00,53.84,0,0
Nurul Hasan,2016-2016,2,2,0,68,34.00,97.14,0,0
Raqibul Hasan,2008-2011,55,54,7,1308,27.82,61.32,0,8
Robiul Islam,2013-2013,3,1,1,0,-,0.00,0,0
Rubel Hossain,2009-2019,96,49,23,123,4.73,54.42,0,0
Sabbir Rahman,2014-2019,57,51,5,1212,26.34,91.67,1,5
Shafiul Islam,2010-2016,56,31,11,126,6.30,57.01,0,0
Shahadat Hossain,2006-2013,51,27,17,79,7.90,52.31,0,0
Shahriar Nafees,2005-2011,75,75,5,2201,31.44,69.49,4,13
Shamsur Rahman,2013-2014,10,10,0,266,26.60,76.00,0,2
Shakib Al Hasan,2006-2018,195,183,24,5577,35.07,81.26,7,40
Shuvagata Hom,2011-2011,4,3,1,70,35.00,81.39,0,0
Sohag Gazi,2012-2014,20,16,4,184,15.33,86.38,0,0
Sohrawordi Shuvo,2010-2011,17,10,3,98,14.00,72.59,0,0
Soumya Sarkar,2014-2019,41,40,3,1274,34.43,98.60,2,7
Subashis Roy,2016-2016,1,1,1,1,-,11.11,0,0
Sunzamul Islam,2017-2018,3,1,0,19,19.00,79.16,0,0
Syed Rasel,2005-2010,52,27,11,81,5.06,43.78,0,0
Taijul Islam,2014-2016,4,2,0,21,10.50,52.50,0,0
Tamim Iqbal,2007-2019,189,187,8,6460,36.08,77.92,11,44
Tanbir Hayder,2016-2016,2,2,0,5,2.50,31.25,0,0
Taskin Ahmed,2014-2017,32,16,6,41,4.10,41.41,0,0
Ziaur Rahman,2013-2014,13,11,0,124,11.27,112.72,0,0
