Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
Abdur Razzak,2004-2014,153,152,6065,207,5/29,29.29,4.56,5
Abul Hasan,2012-2018,7,7,244,0,-,-,6.77,0
Abu Hider,2018-2018,2,2,89,3,2/50,29.66,4.94,0
Aftab Ahmed,2004-2010,85,30,656,12,5/31,54.66,5.32,0
Alok Kapali,2002-2011,69,49,1255,24,3/49,52.29,5.18,0
Al-Amin Hossain,2014-2015,14,14,523,21,4/51,24.90,5.20,2
Anamul Haque,2012-2018,37,-,-,-,-,-,-,-
Arafat Sunny,2014-2015,16,16,600,24,4/27,25.00,4.33,2
Ariful Haque,2018-2018,1,1,17,0,-,-,5.66,0
Elias Sunny,2011-2012,4,4,161,5,2/21,32.20,4.73,0
Faisal Hossain,2004-2010,6,2,53,1,1/27,53.00,4.35,0
Farhad Reza,2006-2011,34,32,1017,22,5/42,46.22,5.35,0
Fazle Mahmud,2018-2018,2,1,16,0,-,-,5.33,0
Imrul Kayes,2008-2018,78,-,-,-,-,-,-,-
Jahurul Islam,2010-2013,14,-,-,-,-,-,-,-
Jubair Hossain,2014-2015,3,3,114,4,2/41,28.50,6.00,0
Junaid Siddique,2007-2011,54,2,13,0,-,-,6.50,0
Liton Das,2015-2019,27,-,-,-,-,-,-,-
Mahmudullah,2007-2019,171,132,3501,76,3/4,46.06,5.16,0
Mashrafe Mortaza,2001-2019,203,203,8106,258,6/26,31.41,4.78,7
Mehidy Hasan Miraz,2017-2019,25,24,912,26,4/29,35.07,4.40,1
Mohammad Ashraful,2001-2013,175,40,661,18,3/26,36.72,5.69,0
Mohammad Mithun,2014-2019,15,-,-,-,-,-,-,-
Mohammad Saifuddin,2017-2019,10,10,373,7,3/45,53.28,5.32,0
Mominul Haque,2012-2018,28,12,190,7,2/13,27.14,4.87,0
Mosaddek Hossain,2016-2018,24,22,454,11,3/13,41.27,5.02,0
Mosharraf Hossain,2008-2016,5,5,147,4,3/24,36.75,4.45,0
Mushfiqur Rahim,2006-2019,201,-,-,-,-,-,-,-
Mustafizur Rahman,2015-2019,43,42,1672,77,6/43,21.71,4.71,2
Naeem Islam,2008-2014,59,48,1407,35,3/32,40.20,4.84,0
Nasir Hossain,2011-2018,65,43,988,24,3/26,41.16,4.71,0
Nazimuddin,2008-2012,11,-,-,-,-,-,-,-
Nazmul Hossain,2004-2012,38,37,1386,44,4/40,31.50,5.04,1
Najmul Hossain Shanto,2018-2018,3,-,-,-,-,-,-,-
Nazmul Islam,2018-2018,5,5,224,5,2/38,44.80,5.09,0
Nurul Hasan,2016-2016,2,-,-,-,-,-,-,-
Raqibul Hasan,2008-2011,55,-,-,-,-,-,-,-
Robiul Islam,2013-2013,3,3,117,2,1/21,58.50,5.27,0
Rubel Hossain,2009-2019,96,94,4019,122,6/26,32.94,5.62,7
Sabbir Rahman,2014-2019,57,19,313,3,1/12,104.33,6.75,0
Shafiul Islam,2010-2016,56,56,2294,63,4/21,36.41,5.87,4
Shahadat Hossain,2006-2013,51,50,2143,47,3/34,45.59,5.84,0
Shahriar Nafees,2005-2011,75,-,-,-,-,-,-,-
Shamsur Rahman,2013-2014,10,1,13,0,-,-,13.00,0
Shakib Al Hasan,2006-2018,195,192,7333,247,5/47,29.68,4.44,8
Shuvagata Hom,2011-2011,4,1,9,0,-,-,4.50,0
Sohag Gazi,2012-2014,20,19,722,22,4/29,32.81,4.71,1
Sohrawordi Shuvo,2010-2011,17,17,572,14,3/14,40.85,4.50,0
Soumya Sarkar,2014-2019,41,8,123,1,1/19,123.00,5.59,0
Subashis Roy,2016-2016,1,1,45,1,1/45,45.00,4.50,0
Sunzamul Islam,2017-2018,3,3,79,5,2/22,15.80,3.16,0
Syed Rasel,2005-2010,52,52,2051,61,4/22,33.62,4.63,1
Taijul Islam,2014-2016,4,4,151,5,4/11,30.20,4.08,1
Tamim Iqbal,2007-2019,189,2,13,0,-,-,13.00,0
Tanbir Hayder,2016-2016,2,2,67,0,-,-,6.70,0
Taskin Ahmed,2014-2017,32,31,1401,45,5/28,31.13,5.94,2
Ziaur Rahman,2013-2014,13,11,301,10,5/30,30.10,4.63,0
