Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
MM Ali,2014-2019,92,74,11,1645,26.11,103.52,3,5
JM Anderson,2002-2015,194,79,43,273,7.58,48.66,0,0
ZS Ansari,2015-2015,1,-,-,-,-,-,-,-
JM Bairstow,2011-2019,59,54,8,2118,46.04,105.00,6,8
JT Ball,2016-2018,18,6,2,38,9.50,77.55,0,0
GS Ballance,2013-2015,16,15,1,297,21.21,67.04,0,2
IR Bell,2004-2015,161,157,14,5416,37.87,77.16,4,35
SW Billings,2015-2018,15,12,0,271,22.58,90.93,0,2
RS Bopara,2007-2015,120,109,21,2695,30.62,77.84,1,14
SG Borthwick,2011-2011,2,2,0,18,9.00,112.50,0,0
TT Bresnan,2006-2015,85,64,20,871,19.79,90.25,0,1
DR Briggs,2012-2012,1,-,-,-,-,-,-,-
SCJ Broad,2006-2016,121,68,25,529,12.30,74.61,0,0
JC Buttler,2012-2019,127,105,22,3387,40.80,118.34,7,18
MA Carberry,2013-2014,6,6,0,114,19.00,63.33,0,1
PD Collingwood,2001-2011,197,181,37,5092,35.36,76.98,5,26
AN Cook,2006-2014,92,92,4,3204,36.40,77.13,5,19
SM Curran,2018-2018,2,2,0,17,8.50,58.62,0,0
TK Curran,2017-2019,13,8,5,71,23.66,109.23,0,0
SM Davies,2009-2011,8,8,0,244,30.50,105.62,0,1
LA Dawson,2016-2018,3,2,0,14,7.00,82.35,0,0
JW Dernbach,2011-2013,24,8,1,19,2.71,48.71,0,0
BM Duckett,2016-2016,3,3,0,123,41.00,80.92,0,2
ST Finn,2011-2017,69,30,13,136,8.00,60.98,0,0
HF Gurney,2014-2014,10,6,4,15,7.50,45.45,0,0
AD Hales,2014-2019,70,67,3,2419,37.79,95.72,6,14
CJ Jordan,2013-2016,31,21,7,169,12.07,89.89,0,0
C Kieswetter,2010-2013,46,40,5,1054,30.11,89.93,1,5
MJ Lumb,2014-2014,3,3,0,165,55.00,81.28,1,0
SC Meaker,2011-2011,2,2,0,2,1.00,12.50,0,0
EJG Morgan,2009-2019,194,180,27,6069,39.66,92.59,11,38
C Overton,2018-2018,1,-,-,-,-,-,-,-
SD Parry,2014-2014,2,-,-,-,-,-,-,-
SR Patel,2008-2013,36,22,7,482,32.13,93.23,0,1
KP Pietersen,2004-2013,134,123,16,4422,41.32,86.70,9,25
LE Plunkett,2005-2019,78,45,15,584,19.46,99.31,0,1
MJ Prior,2004-2011,68,62,9,1282,24.18,76.76,0,3
WB Rankin,2013-2014,7,2,1,5,5.00,100.00,0,0
AU Rashid,2009-2019,83,36,9,529,19.59,100.57,0,1
TS Roland-Jones,2017-2017,1,1,1,37,-,100.00,0,0
JE Root,2013-2019,126,119,19,5090,50.90,86.69,14,29
JJ Roy,2015-2019,73,71,2,2661,38.56,105.51,7,12
A Shahzad,2010-2011,11,8,2,39,6.50,65.00,0,0
RJ Sidebottom,2001-2010,25,18,8,133,13.30,68.55,0,0
BA Stokes,2011-2019,79,68,11,2088,36.63,93.84,3,14
OP Stone,2018-2018,4,1,1,9,-,128.57,0,0
AJ Strauss,2003-2011,127,126,8,4205,35.63,80.94,6,27
GP Swann,2000-2013,79,48,12,500,13.88,90.41,0,0
JWA Taylor,2011-2015,27,26,5,887,42.23,80.12,1,7
RJW Topley,2015-2016,10,5,4,7,7.00,17.50,0,0
JC Tredwell,2010-2015,45,25,11,163,11.64,67.35,0,0
CT Tremlett,2005-2011,15,11,4,50,7.14,56.17,0,0
IJL Trott,2009-2013,68,65,10,2819,51.25,77.06,4,22
JM Vince,2015-2018,6,5,0,131,26.20,87.33,0,1
DJ Willey,2015-2018,42,25,12,245,18.84,84.48,0,1
CR Woakes,2011-2019,84,57,18,1039,26.64,90.42,0,4
MA Wood,2015-2019,40,13,8,45,9.00,88.23,0,0
LJ Wright,2007-2014,50,39,4,707,20.20,86.21,0,2
MH Yardy,2006-2011,28,24,8,326,20.37,69.06,0,2
