Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
K Christie,2016-2016,1,1,0,0,0.00,0.00,0,0
Aizaz Khan,2014-2018,19,15,2,260,20.00,69.51,0,0
Ankur Vasishta,2014-2014,4,4,1,36,12.00,52.17,0,0
Anshuman Rath,2014-2018,18,18,2,828,51.75,76.66,1,7
JJ Atkinson,2008-2017,9,9,0,250,27.77,62.81,0,1
Babar Hayat,2014-2018,22,22,2,784,39.20,78.47,0,8
C Carter,2015-2018,11,9,0,114,12.66,61.29,0,0
MS Chapman,2015-2015,2,2,1,151,151.00,100.00,1,0
Ehsan Khan,2016-2018,15,12,3,102,11.33,44.73,0,0
Ehsan Nawaz,2014-2018,12,10,4,30,5.00,34.48,0,0
Haseeb Amjad,2014-2016,7,6,1,112,22.40,131.76,0,0
Irfan Ahmed,2008-2014,6,6,0,99,16.50,79.20,0,0
Ishtiaq Muhammad,2016-2016,1,1,1,0,-,-,0,0
C McAuslan,2017-2017,2,2,0,35,17.50,48.61,0,0
SS McKechnie,2017-2018,8,8,1,108,15.42,55.95,0,0
Nadeem Ahmed,2004-2018,25,16,4,67,5.58,44.37,0,0
Nizakat Khan,2014-2018,20,20,0,675,33.75,82.92,0,3
KD Shah,2014-2018,10,10,1,136,15.11,57.14,0,0
Shahid Wasif,2016-2018,10,7,0,81,11.57,49.69,0,0
Simandeep Singh,2018-2018,1,1,0,0,0.00,0.00,0,0
Skhawat Ali,2008-2014,4,4,0,46,11.50,42.20,0,0
Tanveer Ahmed,2016-2018,6,4,4,4,-,36.36,0,0
Tanwir Afzal,2014-2018,20,19,3,292,18.25,114.50,0,1
Waqas Barkat,2014-2018,10,10,2,102,12.75,55.43,0,0
Waqas Khan,2015-2017,8,5,1,67,16.75,48.90,0,0
