Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
K Christie,2016-2016,1,1,18,0,-,-,18.00,0
Aizaz Khan,2014-2018,19,19,680,16,2/26,42.50,5.60,0
Ankur Vasishta,2014-2014,4,-,-,-,-,-,-,-
Anshuman Rath,2014-2018,18,7,167,14,3/22,11.92,2.97,0
JJ Atkinson,2008-2017,9,-,-,-,-,-,-,-
Babar Hayat,2014-2018,22,1,9,0,-,-,9.00,0
C Carter,2015-2018,11,-,-,-,-,-,-,-
MS Chapman,2015-2015,2,-,-,-,-,-,-,-
Ehsan Khan,2016-2018,15,15,594,29,4/33,20.48,4.41,1
Ehsan Nawaz,2014-2018,12,12,458,16,4/47,28.62,5.35,2
Haseeb Amjad,2014-2016,7,7,288,11,3/49,26.18,5.05,0
Irfan Ahmed,2008-2014,6,6,299,8,3/51,37.37,6.18,0
Ishtiaq Muhammad,2016-2016,1,1,24,0,-,-,8.00,0
C McAuslan,2017-2017,2,-,-,-,-,-,-,-
SS McKechnie,2017-2018,8,-,-,-,-,-,-,-
Nadeem Ahmed,2004-2018,25,25,932,38,4/26,24.52,4.21,4
Nizakat Khan,2014-2018,20,6,119,4,1/11,29.75,4.92,0
KD Shah,2014-2018,10,3,79,7,4/10,11.28,4.30,1
Shahid Wasif,2016-2018,10,-,-,-,-,-,-,-
Simandeep Singh,2018-2018,1,-,-,-,-,-,-,-
Skhawat Ali,2008-2014,4,1,68,0,-,-,8.50,0
Tanveer Ahmed,2016-2018,6,6,208,5,2/49,41.60,5.44,0
Tanwir Afzal,2014-2018,20,19,601,19,3/20,31.63,4.23,0
Waqas Barkat,2014-2018,10,4,75,0,-,-,5.00,0
Waqas Khan,2015-2017,8,-,-,-,-,-,-,-
