Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
VR Aaron,2011-2014,9,3,2,8,8.00,53.33,0,0
KK Ahmed,2018-2019,8,3,1,9,4.50,52.94,0,0
R Ashwin,2010-2017,111,61,19,675,16.07,86.98,0,1
S Badrinath,2008-2011,7,6,1,79,15.80,45.93,0,0
STR Binny,2014-2015,14,11,3,230,28.75,93.49,0,1
JJ Bumrah,2016-2019,49,10,5,18,3.60,42.85,0,0
YS Chahal,2016-2019,41,7,3,34,8.50,50.74,0,0
DL Chahar,2018-2018,1,1,0,12,12.00,85.71,0,0
PP Chawla,2007-2011,25,12,5,38,5.42,65.51,0,0
R Dhawan,2016-2016,3,2,1,12,12.00,92.30,0,0
S Dhawan,2010-2019,128,127,7,5355,44.62,93.79,16,27
MS Dhoni,2004-2019,338,286,81,10326,50.37,87.11,9,71
AB Dinda,2010-2013,13,5,0,21,4.20,58.33,0,0
R Dravid,1996-2011,340,314,39,10768,39.15,71.18,12,82
FY Fazal,2016-2016,1,1,1,55,-,90.16,0,1
G Gambhir,2003-2013,147,143,11,5238,39.68,85.25,11,34
Gurkeerat Singh,2016-2016,3,3,1,13,6.50,100.00,0,0
Harbhajan Singh,1998-2015,234,126,35,1213,13.32,80.75,0,0
SS Iyer,2017-2018,6,5,0,210,42.00,96.33,0,2
RA Jadeja,2009-2019,151,101,33,2035,29.92,84.23,0,10
KM Jadhav,2014-2019,59,40,13,1174,43.48,102.53,2,5
KD Karthik,2004-2019,91,77,21,1738,31.03,73.70,0,9
S Kaul,2018-2018,3,2,0,1,0.50,33.33,0,0
Z Khan,2000-2012,194,96,31,753,11.58,72.33,0,0
V Kohli,2008-2019,227,219,37,10843,59.57,92.96,41,49
Kuldeep Yadav,2017-2019,44,18,10,100,12.50,58.47,0,0
DS Kulkarni,2014-2016,12,2,2,27,-,96.42,0,0
B Kumar,2012-2019,105,49,15,523,15.38,75.03,0,1
P Kumar,2007-2012,68,33,12,292,13.90,88.21,0,1
A Mishra,2003-2016,36,11,3,43,5.37,52.43,0,0
A Mithun,2010-2011,5,3,0,51,17.00,92.72,0,0
Mohammed Shami,2013-2019,63,29,14,131,8.73,86.18,0,0
Mohammed Siraj,2019-2019,1,-,-,-,-,-,-,-
KK Nair,2016-2016,2,2,0,46,23.00,52.27,0,0
A Nehra,2001-2011,117,45,21,140,5.83,57.37,0,0
NV Ojha,2010-2010,1,1,0,1,1.00,14.28,0,0
PP Ojha,2008-2012,18,10,8,46,23.00,41.07,0,0
MK Pandey,2015-2018,23,18,6,440,36.66,91.85,1,2
HH Pandya,2016-2019,45,29,4,731,29.24,116.58,0,4
Pankaj Singh,2010-2010,1,1,1,3,-,100.00,0,0
RR Pant,2018-2019,5,4,0,93,23.25,130.98,0,0
Parvez Rasool,2014-2014,1,-,-,-,-,-,-,-
AR Patel,2014-2017,38,20,6,181,12.92,95.26,0,0
MM Patel,2006-2011,70,27,16,74,6.72,66.07,0,0
PA Patel,2003-2012,38,34,3,736,23.74,76.50,0,4
IK Pathan,2004-2012,120,87,21,1544,23.39,79.54,0,5
YK Pathan,2008-2012,57,41,11,810,27.00,113.60,2,3
CA Pujara,2013-2014,5,5,0,51,10.20,39.23,0,0
AM Rahane,2011-2018,90,87,3,2962,35.26,78.63,3,24
KL Rahul,2016-2019,14,13,3,343,34.30,80.89,1,2
SK Raina,2005-2018,226,194,35,5615,35.31,93.50,5,36
AT Rayudu,2013-2019,55,50,14,1694,47.05,79.04,3,10
WP Saha,2010-2014,9,5,2,41,13.66,73.21,0,0
V Sehwag,1999-2013,241,235,9,7995,35.37,104.44,15,37
V Shankar,2019-2019,9,5,0,165,33.00,96.49,0,0
I Sharma,2007-2016,80,28,13,72,4.80,35.46,0,0
KV Sharma,2014-2014,2,-,-,-,-,-,-,-
MM Sharma,2013-2015,26,9,5,31,7.75,46.96,0,0
R Sharma,2011-2012,4,1,0,1,1.00,50.00,0,0
RG Sharma,2007-2019,206,200,31,8010,47.39,87.95,22,41
Shubman Gill,2019-2019,2,2,0,16,8.00,50.00,0,0
RP Singh,2005-2011,58,20,10,104,10.40,42.97,0,0
BB Sran,2016-2016,6,-,-,-,-,-,-,-
S Sreesanth,2005-2011,53,21,10,44,4.00,36.36,0,0
SR Tendulkar,1989-2012,463,452,41,18426,44.83,86.23,49,96
SN Thakur,2017-2018,5,2,1,22,22.00,137.50,0,0
MK Tiwary,2008-2015,12,12,1,287,26.09,71.21,1,1
SS Tiwary,2010-2010,3,2,2,49,-,87.50,0,0
S Tyagi,2009-2010,4,1,1,1,-,50.00,0,0
JD Unadkat,2013-2013,7,-,-,-,-,-,-,-
RV Uthappa,2006-2015,46,42,6,934,25.94,90.59,0,6
M Vijay,2010-2015,17,16,0,339,21.18,66.99,0,1
R Vinay Kumar,2010-2013,31,13,4,86,9.55,58.90,0,0
Washington Sundar,2017-2017,1,-,-,-,-,-,-,-
J Yadav,2016-2016,1,1,1,1,-,100.00,0,0
UT Yadav,2010-2018,75,24,14,79,7.90,58.95,0,0
Yuvraj Singh,2000-2017,301,275,39,8609,36.47,87.43,14,52
