Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
VR Aaron,2011-2014,9,9,11,3/24,38.09,6.61,34.5,0
KK Ahmed,2018-2019,8,8,11,3/13,30.72,5.36,34.3,0
R Ashwin,2010-2017,111,109,150,4/25,32.91,4.91,40.1,0
S Badrinath,2008-2011,7,-,-,-,-,-,-,-
STR Binny,2014-2015,14,12,20,6/4,21.95,5.37,24.5,1
JJ Bumrah,2016-2019,49,49,85,5/27,22.15,4.51,29.4,1
YS Chahal,2016-2019,41,40,72,6/42,24.61,4.89,30.1,2
DL Chahar,2018-2018,1,1,1,1/37,37.00,9.25,24.0,0
PP Chawla,2007-2011,25,25,32,4/23,34.90,5.10,41.0,0
R Dhawan,2016-2016,3,3,1,1/74,160.00,6.40,150.0,0
S Dhawan,2010-2019,128,-,-,-,-,-,-,-
MS Dhoni,2004-2019,338,2,1,1/14,31.00,5.16,36.0,0
AB Dinda,2010-2013,13,13,12,2/44,51.00,6.18,49.5,0
R Dravid,1996-2011,340,8,4,2/43,42.50,5.48,46.5,0
FY Fazal,2016-2016,1,-,-,-,-,-,-,-
G Gambhir,2003-2013,147,1,0,-,-,13.00,-,0
Gurkeerat Singh,2016-2016,3,3,0,-,-,6.80,-,0
Harbhajan Singh,1998-2015,234,225,265,5/31,33.47,4.30,46.6,3
SS Iyer,2017-2018,6,1,0,-,-,2.00,-,0
RA Jadeja,2009-2019,151,147,174,5/36,35.89,4.88,44.0,1
KM Jadhav,2014-2019,59,36,27,3/23,34.70,5.15,40.4,0
KD Karthik,2004-2019,91,-,-,-,-,-,-,-
S Kaul,2018-2018,3,3,0,-,-,6.62,-,0
Z Khan,2000-2012,194,191,269,5/42,30.11,4.95,36.4,1
V Kohli,2008-2019,227,48,4,1/15,166.25,6.22,160.2,0
Kuldeep Yadav,2017-2019,44,42,87,6/25,21.74,4.93,26.4,1
DS Kulkarni,2014-2016,12,12,19,4/34,26.73,5.09,31.4,0
B Kumar,2012-2019,105,104,118,5/42,35.66,5.01,42.7,1
P Kumar,2007-2012,68,67,77,4/31,36.02,5.13,42.1,0
A Mishra,2003-2016,36,34,64,6/48,23.60,4.72,29.9,2
A Mithun,2010-2011,5,5,3,2/32,67.66,6.76,60.0,0
Mohammed Shami,2013-2019,63,62,113,4/35,26.11,5.48,28.5,0
Mohammed Siraj,2019-2019,1,1,0,-,-,7.60,-,0
KK Nair,2016-2016,2,-,-,-,-,-,-,-
A Nehra,2001-2011,117,117,155,6/23,31.60,5.21,36.3,2
NV Ojha,2010-2010,1,-,-,-,-,-,-,-
PP Ojha,2008-2012,18,17,21,4/38,31.04,4.46,41.7,0
MK Pandey,2015-2018,23,-,-,-,-,-,-,-
HH Pandya,2016-2019,45,44,44,3/31,39.72,5.53,43.0,0
Pankaj Singh,2010-2010,1,1,0,-,-,6.42,-,0
RR Pant,2018-2019,5,-,-,-,-,-,-,-
Parvez Rasool,2014-2014,1,1,2,2/60,30.00,6.00,30.0,0
AR Patel,2014-2017,38,35,45,3/34,31.31,4.43,42.4,0
MM Patel,2006-2011,70,67,86,4/29,30.26,4.95,36.6,0
PA Patel,2003-2012,38,-,-,-,-,-,-,-
IK Pathan,2004-2012,120,118,173,5/27,29.72,5.26,33.8,2
YK Pathan,2008-2012,57,50,33,3/49,41.36,5.49,45.1,0
CA Pujara,2013-2014,5,-,-,-,-,-,-,-
AM Rahane,2011-2018,90,-,-,-,-,-,-,-
KL Rahul,2016-2019,14,-,-,-,-,-,-,-
SK Raina,2005-2018,226,101,36,3/34,50.30,5.11,59.0,0
AT Rayudu,2013-2019,55,9,3,1/5,41.33,6.14,40.3,0
WP Saha,2010-2014,9,-,-,-,-,-,-,-
V Sehwag,1999-2013,241,142,94,4/6,39.75,5.22,45.6,0
V Shankar,2019-2019,9,8,2,2/15,94.00,5.61,100.5,0
I Sharma,2007-2016,80,78,115,4/34,30.98,5.72,32.4,0
KV Sharma,2014-2014,2,2,0,-,-,6.57,-,0
MM Sharma,2013-2015,26,25,31,4/22,32.90,5.45,36.1,0
R Sharma,2011-2012,4,4,6,3/43,29.50,5.15,34.3,0
RG Sharma,2007-2019,206,38,8,2/27,64.37,5.21,74.1,0
Shubman Gill,2019-2019,2,-,-,-,-,-,-,-
RP Singh,2005-2011,58,57,69,4/35,33.95,5.48,37.1,0
BB Sran,2016-2016,6,6,7,3/56,38.42,5.34,43.1,0
S Sreesanth,2005-2011,53,52,75,6/55,33.44,6.07,33.0,1
SR Tendulkar,1989-2012,463,270,154,5/32,44.48,5.10,52.2,2
SN Thakur,2017-2018,5,5,6,4/52,36.33,6.08,35.8,0
MK Tiwary,2008-2015,12,6,5,4/61,30.00,6.81,26.4,0
SS Tiwary,2010-2010,3,-,-,-,-,-,-,-
S Tyagi,2009-2010,4,4,3,1/15,48.00,5.23,55.0,0
JD Unadkat,2013-2013,7,7,8,4/41,26.12,4.01,39.0,0
RV Uthappa,2006-2015,46,1,0,-,-,0.00,-,0
M Vijay,2010-2015,17,2,1,1/19,37.00,6.16,36.0,0
R Vinay Kumar,2010-2013,31,31,38,4/30,37.44,5.94,37.7,0
Washington Sundar,2017-2017,1,1,1,1/65,65.00,6.50,60.0,0
J Yadav,2016-2016,1,1,1,1/8,8.00,2.00,24.0,0
UT Yadav,2010-2018,75,73,106,4/31,33.63,6.01,33.5,0
Yuvraj Singh,2000-2017,301,158,110,5/31,38.42,5.08,45.3,1
