Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
J Anderson,2014-2016,8,8,0,151,18.87,56.55,0,0
A Balbirnie,2010-2019,55,52,4,1461,30.43,72.47,3,8
AC Botha,2006-2011,42,38,4,666,19.58,68.65,0,2
J Cameron-Dow,2019-2019,4,1,1,7,-,70.00,0,0
PKD Chase,2015-2018,25,16,6,35,3.50,62.50,0,0
PC Connell,2008-2010,13,5,3,40,20.00,54.79,0,0
AR Cusack,2007-2015,59,47,14,745,22.57,64.27,0,2
GH Dockrell,2010-2019,82,53,22,535,17.25,69.93,0,2
JD Hall,2010-2010,3,3,0,28,9.33,37.33,0,0
DT Johnston,2006-2013,67,53,15,743,19.55,94.64,0,0
NG Jones,2010-2011,14,9,4,74,14.80,72.54,0,0
EC Joyce,2011-2018,61,60,8,2151,41.36,73.63,5,12
AR McBrine,2014-2019,37,22,9,251,19.30,74.48,0,1
RD McCann,2010-2010,8,5,1,44,11.00,57.14,0,0
GJ McCarter,2014-2014,1,1,1,1,-,100.00,0,0
BJ McCarthy,2016-2019,24,15,3,82,6.83,50.30,0,0
JA McCollum,2019-2019,1,1,0,0,0.00,0.00,0,0
JF Mooney,2006-2015,64,55,14,963,23.48,79.25,0,3
J Mulder,2017-2017,4,2,2,15,-,136.36,0,0
TJ Murtagh,2012-2019,50,31,9,161,7.31,63.88,0,0
KJ O'Brien,2006-2019,133,121,16,3262,31.06,88.49,2,16
NJ O'Brien,2006-2018,103,101,9,2581,28.05,70.94,1,18
WTS Porterfield,2006-2019,127,124,3,3764,31.10,69.25,11,15
AD Poynter,2008-2014,19,16,3,255,19.61,61.89,0,2
SW Poynter,2014-2019,21,19,5,185,13.21,66.54,0,0
WB Rankin,2007-2019,58,26,15,73,6.63,42.44,0,0
EJ Richardson,2013-2013,2,1,0,12,12.00,66.66,0,0
JNK Shannon,2013-2013,1,1,0,2,2.00,25.00,0,0
Simi Singh,2017-2019,15,14,1,193,14.84,58.13,0,0
MC Sorensen,2013-2016,13,8,2,125,20.83,80.64,0,0
PR Stirling,2008-2019,105,102,2,3536,35.36,88.35,7,18
SP Terry,2016-2016,5,5,0,32,6.40,47.76,0,0
SR Thompson,2013-2017,20,15,1,228,16.28,90.83,0,0
A van der Merwe,2010-2011,9,6,2,15,3.75,60.00,0,0
AR White,2006-2014,61,46,3,776,18.04,62.83,0,1
GC Wilson,2007-2018,99,93,11,1974,24.07,72.07,1,12
CA Young,2014-2017,13,6,2,20,5.00,62.50,0,0
