Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
J Anderson,2014-2016,8,2,20,0,-,-,4.00,0
A Balbirnie,2010-2019,55,3,68,2,1/26,34.00,6.80,0
AC Botha,2006-2011,42,33,1134,42,4/19,27.00,4.36,2
J Cameron-Dow,2019-2019,4,4,151,5,3/32,30.20,4.87,0
PKD Chase,2015-2018,25,24,1356,34,3/33,39.88,6.57,0
PC Connell,2008-2010,13,12,518,13,3/68,39.84,5.51,0
AR Cusack,2007-2015,59,52,1510,63,5/20,23.96,4.63,1
GH Dockrell,2010-2019,82,80,3107,89,4/24,34.91,4.64,4
JD Hall,2010-2010,3,-,-,-,-,-,-,-
DT Johnston,2006-2013,67,63,2115,66,5/14,32.04,4.33,1
NG Jones,2010-2011,14,13,234,10,2/19,23.40,3.60,0
EC Joyce,2011-2018,61,-,-,-,-,-,-,-
AR McBrine,2014-2019,37,36,1359,39,3/38,34.84,4.42,0
RD McCann,2010-2010,8,-,-,-,-,-,-,-
GJ McCarter,2014-2014,1,1,38,0,-,-,4.75,0
BJ McCarthy,2016-2019,24,24,1189,48,5/46,24.77,5.74,2
JA McCollum,2019-2019,1,-,-,-,-,-,-,-
JF Mooney,2006-2015,64,50,1635,48,4/27,34.06,5.45,2
J Mulder,2017-2017,4,4,155,5,3/57,31.00,5.00,0
TJ Murtagh,2012-2019,50,49,1940,62,4/30,31.29,4.52,4
KJ O'Brien,2006-2019,133,107,3575,112,4/13,31.91,5.24,5
NJ O'Brien,2006-2018,103,-,-,-,-,-,-,-
WTS Porterfield,2006-2019,127,-,-,-,-,-,-,-
AD Poynter,2008-2014,19,-,-,-,-,-,-,-
SW Poynter,2014-2019,21,-,-,-,-,-,-,-
WB Rankin,2007-2019,58,57,2275,81,4/15,28.08,4.74,3
EJ Richardson,2013-2013,2,2,54,2,2/39,27.00,4.90,0
JNK Shannon,2013-2013,1,-,-,-,-,-,-,-
Simi Singh,2017-2019,15,12,378,12,3/15,31.50,3.97,0
MC Sorensen,2013-2016,13,12,520,16,4/40,32.50,5.74,1
PR Stirling,2008-2019,105,69,1849,40,6/55,46.22,4.78,1
SP Terry,2016-2016,5,-,-,-,-,-,-,-
SR Thompson,2013-2017,20,16,490,12,2/17,40.83,5.25,0
A van der Merwe,2010-2011,9,9,323,11,5/49,29.36,4.48,0
AR White,2006-2014,61,35,688,25,4/44,27.52,4.75,1
GC Wilson,2007-2018,99,-,-,-,-,-,-,-
CA Young,2014-2017,13,12,563,27,5/46,20.85,5.14,0
