Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
Adeel Raja,2002-2011,21,12,2,28,2.80,20.14,0,0
Ahsan Malik,2011-2014,12,5,5,14,-,51.85,0,0
W Barresi,2010-2018,30,29,4,866,34.64,75.17,1,6
PW Borren,2006-2014,58,50,5,1004,22.31,85.37,0,5
Mudassar Bukhari,2007-2014,46,34,4,516,17.20,76.90,0,2
AF Buurman,2007-2011,17,11,2,140,15.55,78.21,0,0
BN Cooper,2013-2018,6,4,0,116,29.00,120.83,0,1
TLW Cooper,2010-2013,23,22,2,976,48.80,70.16,1,8
TN de Grooth,2006-2013,34,32,4,480,17.14,62.01,0,1
BFW de Leede,2018-2018,2,2,0,30,15.00,48.38,0,0
WP Diepeveen,2011-2011,1,1,0,6,6.00,85.71,0,0
SA Edwards,2018-2018,2,2,0,27,13.50,79.41,0,0
TGJ Gruijters,2010-2013,5,4,1,68,22.66,58.62,0,0
TJ Heggelman,2010-2011,5,5,0,27,5.40,31.76,0,0
MBS Jonkman,2006-2010,16,9,4,59,11.80,74.68,0,0
MMA Jonkman,2007-2010,4,2,0,20,10.00,39.21,0,0
AN Kervezee,2006-2012,39,36,3,924,28.00,73.15,0,4
VJ Kingma,2014-2014,1,-,-,-,-,-,-,-
FJ Klaassen,2018-2018,2,2,0,24,12.00,52.17,0,0
BP Kruger,2010-2011,5,3,0,32,10.66,64.00,0,0
N Kruger,2011-2011,2,2,0,39,19.50,52.00,0,0
BP Loots,2010-2011,7,5,2,16,5.33,59.25,0,0
Mohammad Kashif,2006-2010,11,3,0,1,0.33,5.88,0,0
SJ Myburgh,2011-2018,13,13,1,294,24.50,86.72,0,2
MJG Rippon,2013-2018,6,4,1,71,23.66,63.39,0,1
E Schiferli,2002-2013,30,22,6,161,10.06,73.85,0,0
PM Seelaar,2006-2018,39,23,10,123,9.46,53.71,0,0
S Snater,2018-2018,2,2,0,12,6.00,85.71,0,0
MR Swart,2011-2014,12,11,1,197,19.70,72.42,0,1
ES Szwarczynski,2006-2014,41,40,3,1102,29.78,68.23,0,10
RN ten Doeschate,2006-2011,33,32,9,1541,67.00,87.70,5,9
DJ ter Braak,2018-2018,2,2,0,40,20.00,42.55,0,0
VAB Tewarie,2011-2011,1,1,0,4,4.00,18.18,0,0
DLS van Bunge,2002-2013,37,31,1,633,21.10,66.42,0,3
T van der Gugten,2012-2013,4,2,0,4,2.00,66.66,0,0
PA van Meekeren,2013-2018,4,3,3,30,-,75.00,0,0
BA Westdijk,2011-2011,4,3,1,1,0.50,16.66,0,0
B Zuiderent,1996-2011,57,56,10,1097,23.84,58.56,0,8
