Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
Adeel Raja,2002-2011,21,21,690,17,4/42,40.58,4.89,1
Ahsan Malik,2011-2014,12,11,408,12,3/38,34.00,5.19,0
W Barresi,2010-2018,30,2,24,0,-,-,6.00,0
PW Borren,2006-2014,58,51,1620,46,4/32,35.21,4.91,1
Mudassar Bukhari,2007-2014,46,46,1601,57,3/17,28.08,4.71,0
AF Buurman,2007-2011,17,-,-,-,-,-,-,-
BN Cooper,2013-2018,6,-,-,-,-,-,-,-
TLW Cooper,2010-2013,23,19,438,13,3/11,33.69,4.75,0
TN de Grooth,2006-2013,34,1,2,1,1/2,2.00,2.00,0
BFW de Leede,2018-2018,2,2,15,1,1/3,15.00,3.91,0
WP Diepeveen,2011-2011,1,-,-,-,-,-,-,-
SA Edwards,2018-2018,2,-,-,-,-,-,-,-
TGJ Gruijters,2010-2013,5,4,79,2,2/37,39.50,3.95,0
TJ Heggelman,2010-2011,5,3,86,5,3/29,17.20,5.05,0
MBS Jonkman,2006-2010,16,16,565,24,3/24,23.54,4.71,0
MMA Jonkman,2007-2010,4,4,113,6,3/22,18.83,4.98,0
AN Kervezee,2006-2012,39,2,34,0,-,-,8.50,0
VJ Kingma,2014-2014,1,1,11,0,-,-,5.50,0
FJ Klaassen,2018-2018,2,2,68,6,3/30,11.33,3.40,0
BP Kruger,2010-2011,5,5,131,3,3/21,43.66,4.27,0
N Kruger,2011-2011,2,-,-,-,-,-,-,-
BP Loots,2010-2011,7,7,287,6,3/16,47.83,6.15,0
Mohammad Kashif,2006-2010,11,11,410,9,3/42,45.55,5.46,0
SJ Myburgh,2011-2018,13,-,-,-,-,-,-,-
MJG Rippon,2013-2018,6,6,167,10,4/37,16.70,3.97,1
E Schiferli,2002-2013,30,30,1008,33,4/23,30.54,4.67,3
PM Seelaar,2006-2018,39,39,1399,47,4/15,29.76,4.66,1
S Snater,2018-2018,2,2,63,1,1/41,63.00,5.32,0
MR Swart,2011-2014,12,11,306,3,1/21,102.00,5.01,0
ES Szwarczynski,2006-2014,41,-,-,-,-,-,-,-
RN ten Doeschate,2006-2011,33,33,1327,55,4/31,24.12,5.03,3
DJ ter Braak,2018-2018,2,-,-,-,-,-,-,-
VAB Tewarie,2011-2011,1,-,-,-,-,-,-,-
DLS van Bunge,2002-2013,37,13,329,11,3/16,29.90,5.96,0
T van der Gugten,2012-2013,4,4,85,8,5/24,10.62,4.04,0
PA van Meekeren,2013-2018,4,4,131,2,1/21,65.50,5.03,0
BA Westdijk,2011-2011,4,4,195,1,1/56,195.00,7.50,0
B Zuiderent,1996-2011,57,-,-,-,-,-,-,-
