Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
GW Aldridge,2011-2011,2,-,-,-,-,-,-,-
CJ Anderson,2013-2017,49,45,5,1109,27.72,108.72,1,4
TD Astle,2017-2019,9,5,2,79,26.33,102.59,0,0
MD Bates,2012-2012,2,1,0,13,13.00,130.00,0,0
HK Bennett,2010-2017,16,7,5,10,5.00,28.57,0,0
SE Bond,2002-2010,82,40,22,292,16.22,76.04,0,0
TA Boult,2012-2019,79,35,20,144,9.60,75.78,0,0
DAJ Bracewell,2011-2019,19,12,2,158,15.80,73.83,0,1
NT Broom,2009-2017,39,39,4,943,26.94,81.22,1,5
DG Brownlie,2012-2017,16,15,1,361,25.78,74.27,0,1
IG Butler,2002-2010,26,13,5,84,10.50,54.54,0,0
MS Chapman,2018-2018,3,3,0,9,3.00,39.13,0,0
C de Grandhomme,2012-2019,28,21,6,443,29.53,110.47,0,1
AP Devcich,2013-2016,12,11,0,195,17.72,77.07,0,1
GD Elliott,2008-2016,83,69,11,1976,34.06,81.78,2,11
AM Ellis,2012-2013,15,12,1,154,14.00,83.69,0,0
LH Ferguson,2016-2019,27,13,6,58,8.28,48.73,0,0
DR Flynn,2008-2012,20,17,2,228,15.20,63.33,0,0
JEC Franklin,2001-2013,110,80,27,1270,23.96,76.92,0,4
MJ Guptill,2009-2019,169,166,18,6440,43.51,87.44,16,34
MJ Henry,2014-2019,43,16,6,193,19.30,103.76,0,0
GJ Hopkins,2004-2010,25,17,1,236,14.75,75.88,0,0
JM How,2005-2011,41,37,1,1046,29.05,66.53,1,7
PJ Ingram,2010-2010,8,7,0,193,27.57,81.09,0,1
SC Kuggeleijn,2017-2017,2,1,1,11,-,183.33,0,0
TWM Latham,2012-2019,85,79,8,2395,33.73,83.15,4,14
MJ McClenaghan,2013-2016,48,14,10,108,27.00,78.26,0,0
BB McCullum,2002-2016,260,228,28,6083,30.41,96.37,5,32
NL McCullum,2009-2015,84,62,11,1070,20.98,87.70,0,4
AJ McKay,2010-2012,19,10,7,12,4.00,25.53,0,0
MJ Mason,2003-2010,26,7,4,24,8.00,53.33,0,0
AW Mathieson,2015-2015,1,1,1,0,-,-,0,0
KD Mills,2001-2015,170,101,34,1047,15.62,81.66,0,2
AF Milne,2012-2017,40,17,7,168,16.80,101.81,0,0
C Munro,2013-2019,51,47,1,1146,24.91,105.52,0,7
JDS Neesham,2013-2019,49,42,9,1015,30.75,105.07,0,5
TS Nethula,2012-2012,5,3,1,12,6.00,109.09,0,0
HM Nicholls,2015-2019,41,39,10,1029,35.48,85.04,1,8
RJ Nicol,2011-2013,22,21,2,586,30.84,75.51,2,2
JDP Oram,2001-2012,160,116,15,2434,24.09,86.61,1,13
JS Patel,2005-2017,43,15,8,95,13.57,58.64,0,0
SHA Rance,2017-2017,2,-,-,-,-,-,-,-
AJ Redmond,2009-2010,6,6,0,152,25.33,58.68,0,1
L Ronchi,2013-2017,81,66,9,1321,23.17,111.66,1,3
HD Rutherford,2013-2013,4,4,0,15,3.75,26.78,0,0
JD Ryder,2008-2014,48,42,1,1362,33.21,95.31,3,6
MJ Santner,2015-2019,59,46,16,826,27.53,89.58,0,2
TL Seifert,2019-2019,3,2,0,33,16.50,122.22,0,0
IS Sodhi,2015-2019,30,12,2,62,6.20,73.80,0,0
TG Southee,2008-2019,139,84,31,669,12.62,99.85,0,1
SL Stewart,2010-2010,4,4,0,26,6.50,44.06,0,0
SB Styris,1999-2011,188,161,23,4483,32.48,79.41,4,28
LRPL Taylor,2006-2019,218,203,37,8026,48.34,83.37,20,47
DR Tuffey,2000-2010,94,52,21,295,9.51,79.30,0,0
DL Vettori,1997-2015,291,183,55,2201,17.19,82.83,0,4
BJ Watling,2010-2018,28,25,2,573,24.91,68.37,0,5
BM Wheeler,2015-2015,6,4,4,58,-,123.40,0,0
KS Williamson,2010-2019,139,133,12,5554,45.90,82.61,11,37
LJ Woodcock,2011-2011,4,2,1,14,14.00,63.63,0,0
GH Worker,2015-2018,10,10,2,272,34.00,71.76,0,3
