Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
GW Aldridge,2011-2011,2,2,1,1/45,98.00,5.15,114.0,0
CJ Anderson,2013-2017,49,43,60,5/63,25.03,6.06,24.7,1
TD Astle,2017-2019,9,8,10,3/33,24.60,5.46,27.0,0
MD Bates,2012-2012,2,2,2,1/24,26.00,3.71,42.0,0
HK Bennett,2010-2017,16,15,27,4/16,23.00,5.18,26.5,0
SE Bond,2002-2010,82,80,147,6/19,20.88,4.28,29.2,4
TA Boult,2012-2019,79,79,147,7/34,24.70,5.07,29.1,5
DAJ Bracewell,2011-2019,19,19,23,4/55,34.69,5.13,40.5,0
NT Broom,2009-2017,39,-,-,-,-,-,-,-
DG Brownlie,2012-2017,16,-,-,-,-,-,-,-
IG Butler,2002-2010,26,25,28,4/44,37.07,5.61,39.6,0
MS Chapman,2018-2018,3,-,-,-,-,-,-,-
C de Grandhomme,2012-2019,28,28,18,3/26,46.33,5.05,55.0,0
AP Devcich,2013-2016,12,11,4,2/33,72.75,5.38,81.0,0
GD Elliott,2008-2016,83,56,39,4/31,30.23,5.43,33.3,0
AM Ellis,2012-2013,15,13,12,2/22,35.41,5.31,40.0,0
LH Ferguson,2016-2019,27,27,46,5/45,28.47,5.61,30.4,1
DR Flynn,2008-2012,20,3,0,-,-,6.25,-,0
JEC Franklin,2001-2013,110,97,81,5/42,41.40,5.22,47.5,1
MJ Guptill,2009-2019,169,11,4,2/6,24.50,5.39,27.2,0
MJ Henry,2014-2019,43,41,78,5/30,26.21,5.52,28.4,2
GJ Hopkins,2004-2010,25,-,-,-,-,-,-,-
JM How,2005-2011,41,-,-,-,-,-,-,-
PJ Ingram,2010-2010,8,-,-,-,-,-,-,-
SC Kuggeleijn,2017-2017,2,2,5,3/41,11.60,4.14,16.8,0
TWM Latham,2012-2019,85,-,-,-,-,-,-,-
MJ McClenaghan,2013-2016,48,45,82,5/58,28.20,5.94,28.4,1
BB McCullum,2002-2016,260,-,-,-,-,-,-,-
NL McCullum,2009-2015,84,81,63,3/24,46.92,5.01,56.1,0
AJ McKay,2010-2012,19,19,27,4/53,29.62,5.18,34.2,0
MJ Mason,2003-2010,26,25,31,4/24,33.03,5.21,38.0,0
AW Mathieson,2015-2015,1,1,1,1/40,40.00,10.00,24.0,0
KD Mills,2001-2015,170,169,240,5/25,27.02,4.72,34.2,1
AF Milne,2012-2017,40,39,41,3/49,38.56,5.26,43.9,0
C Munro,2013-2019,51,24,7,2/10,67.42,5.18,78.0,0
JDS Neesham,2013-2019,49,46,44,4/42,34.59,6.31,32.8,0
TS Nethula,2012-2012,5,5,5,2/41,49.80,5.65,52.8,0
HM Nicholls,2015-2019,41,-,-,-,-,-,-,-
RJ Nicol,2011-2013,22,17,10,4/19,32.90,5.82,33.9,0
JDP Oram,2001-2012,160,154,173,5/26,29.17,4.38,39.9,2
JS Patel,2005-2017,43,42,49,3/11,34.51,5.03,41.1,0
SHA Rance,2017-2017,2,2,1,1/44,110.00,6.28,105.0,0
AJ Redmond,2009-2010,6,-,-,-,-,-,-,-
L Ronchi,2013-2017,81,-,-,-,-,-,-,-
HD Rutherford,2013-2013,4,-,-,-,-,-,-,-
JD Ryder,2008-2014,48,19,12,3/29,34.33,6.07,33.9,0
MJ Santner,2015-2019,59,55,63,5/50,34.71,4.90,42.4,1
TL Seifert,2019-2019,3,-,-,-,-,-,-,-
IS Sodhi,2015-2019,30,29,39,4/58,35.76,5.53,38.7,0
TG Southee,2008-2019,139,137,185,7/33,34.07,5.42,37.6,3
SL Stewart,2010-2010,4,-,-,-,-,-,-,-
SB Styris,1999-2011,188,161,137,6/25,35.32,4.74,44.6,1
LRPL Taylor,2006-2019,218,4,0,-,-,5.00,-,0
DR Tuffey,2000-2010,94,92,110,4/24,32.12,4.89,39.3,0
DL Vettori,1997-2015,291,273,297,5/7,31.96,4.12,46.5,2
BJ Watling,2010-2018,28,-,-,-,-,-,-,-
BM Wheeler,2015-2015,6,6,8,3/63,39.37,6.11,38.6,0
KS Williamson,2010-2019,139,63,35,4/22,35.60,5.42,39.3,0
LJ Woodcock,2011-2011,4,4,3,2/58,51.66,5.67,54.6,0
GH Worker,2015-2018,10,1,0,-,-,5.00,-,0
