Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
Aamer Yamin,2015-2018,4,3,2,95,95.00,98.95,0,1
Abdul Razzaq,1996-2011,261,225,57,5031,29.94,81.67,3,23
Abdur Rehman,2006-2014,31,23,6,142,8.35,53.99,0,0
Adnan Akmal,2011-2012,5,4,1,62,20.66,69.66,0,0
Ahmed Shehzad,2009-2017,81,81,1,2605,32.56,72.08,6,14
Aizaz Cheema,2011-2012,14,6,3,26,8.66,57.77,0,0
Anwar Ali,2013-2016,22,16,5,321,29.18,87.46,0,0
Asad Ali,2013-2013,4,2,0,13,6.50,81.25,0,0
Asad Shafiq,2010-2017,60,58,4,1336,24.74,67.50,0,9
Asif Ali,2018-2018,11,8,1,200,28.57,130.71,0,1
Azhar Ali,2011-2018,53,53,3,1845,36.90,74.45,3,12
Babar Azam,2015-2019,59,57,9,2462,51.29,84.66,8,10
Bilal Asif,2015-2015,3,3,0,40,13.33,81.63,0,0
Bilawal Bhatti,2013-2015,10,7,1,89,14.83,118.66,0,0
Ehsan Adil,2013-2015,6,4,1,27,9.00,64.28,0,0
Faheem Ashraf,2017-2019,18,11,2,104,11.55,74.28,0,0
Fakhar Zaman,2017-2019,31,31,4,1442,53.40,96.19,3,9
Fawad Alam,2007-2015,38,36,12,966,40.25,74.47,1,6
Hammad Azam,2011-2015,11,7,2,80,16.00,61.06,0,0
Haris Sohail,2013-2018,26,25,3,960,43.63,81.70,0,10
Hasan Ali,2016-2019,44,22,6,203,12.68,102.52,0,2
Hussain Talat,2019-2019,1,1,0,2,2.00,14.28,0,0
Iftikhar Ahmed,2015-2015,2,2,0,8,4.00,25.80,0,0
Iftikhar Anjum,2004-2010,62,34,19,234,15.60,61.90,0,0
Imad Wasim,2015-2019,36,24,11,570,43.84,101.42,0,4
Imam-ul-Haq,2017-2019,21,21,3,1090,60.55,81.77,5,5
Imran Farhat,2001-2013,58,58,2,1719,30.69,69.06,1,13
Junaid Khan,2011-2018,71,28,15,63,4.84,52.94,0,0
Kamran Akmal,2002-2017,157,138,14,3236,26.09,83.94,5,10
Khalid Latif,2008-2010,5,5,0,147,29.40,64.47,0,1
Misbah-ul-Haq,2002-2015,162,149,31,5122,43.40,73.75,0,42
Mohammad Amir,2009-2019,49,27,9,352,19.55,81.86,0,2
Mohammad Asif,2005-2010,35,16,7,34,3.77,34.00,0,0
Mohammad Hafeez,2003-2019,208,206,15,6302,32.99,76.01,11,36
Mohammad Irfan,2010-2016,60,33,21,48,4.00,32.21,0,0
Mohammad Nawaz,2016-2018,14,12,3,199,22.11,93.42,0,1
Mohammad Rizwan,2015-2019,27,24,7,474,27.88,87.29,0,3
Mohammad Salman,2011-2011,7,3,1,22,11.00,56.41,0,0
Mohammad Sami,2001-2015,87,46,19,314,11.62,64.08,0,0
Mohammad Talha,2014-2014,3,1,0,0,0.00,0.00,0,0
Mohammad Yousuf,1998-2010,281,267,40,9554,42.08,74.91,15,62
Nasir Jamshed,2008-2015,48,48,3,1418,31.51,75.38,3,8
Naved-ul-Hasan,2003-2010,74,51,18,524,15.87,84.51,0,0
Rahat Ali,2012-2016,14,7,4,8,2.66,21.62,0,0
Raza Hasan,2014-2014,1,1,0,0,0.00,0.00,0,0
Rumman Raees,2017-2018,9,4,1,27,9.00,112.50,0,0
Saad Nasim,2015-2015,3,3,1,99,49.50,79.83,0,1
Saeed Ajmal,2008-2015,113,70,24,324,7.04,60.56,0,0
Salman Butt,2004-2010,78,78,4,2725,36.82,76.28,8,14
Sami Aslam,2015-2016,4,4,0,78,19.50,66.66,0,0
Sarfaraz Ahmed,2007-2019,101,76,17,1942,32.91,86.19,2,9
Shadab Khan,2017-2019,34,16,6,294,29.40,65.04,0,3
Shaheen Shah Afridi,2018-2019,10,4,3,15,15.00,53.57,0,0
Shahid Afridi,1996-2015,393,364,27,8027,23.81,116.94,6,39
Shahzaib Hasan,2010-2010,3,3,0,100,33.33,88.49,0,1
Sharjeel Khan,2013-2017,25,25,0,812,32.48,113.40,1,6
Shoaib Akhtar,1998-2011,158,80,39,361,8.80,71.06,0,0
Shoaib Malik,1999-2019,279,250,40,7379,35.13,81.69,9,43
Sohaib Maqsood,2013-2016,26,25,2,735,31.95,83.42,0,5
Sohail Khan,2008-2016,13,6,1,25,5.00,49.01,0,0
Sohail Tanvir,2007-2014,62,40,11,399,13.75,87.11,0,1
Tanvir Ahmed,2011-2011,2,1,0,18,18.00,150.00,0,0
Taufeeq Umar,2001-2011,22,22,1,504,24.00,56.31,0,3
Umar Akmal,2009-2017,116,105,17,3044,34.59,85.94,2,20
Umar Amin,2010-2018,16,16,1,271,18.06,69.13,0,1
Umar Gul,2003-2016,130,65,18,457,9.72,71.18,0,0
Usman Salahuddin,2011-2011,2,2,0,13,6.50,46.42,0,0
Usman Shinwari,2017-2019,12,1,0,0,0.00,0.00,0,0
Wahab Riaz,2008-2017,79,56,13,589,13.69,82.37,0,2
Yasir Shah,2011-2018,19,9,3,102,17.00,89.47,0,0
Younis Khan,2000-2015,265,255,23,7249,31.24,75.29,7,48
Zafar Gohar,2015-2015,1,1,0,15,15.00,100.00,0,0
Zulfiqar Babar,2014-2015,5,5,3,35,17.50,87.50,0,0
Zulqarnain Haider,2010-2010,4,4,2,48,24.00,70.58,0,0
