Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
Aamer Yamin,2015-2018,4,4,2,1/38,77.00,5.92,78.0,0
Abdul Razzaq,1996-2011,261,250,268,6/35,31.53,4.67,40.4,3
Abdur Rehman,2006-2014,31,31,30,4/48,38.06,4.21,54.1,0
Adnan Akmal,2011-2012,5,-,-,-,-,-,-,-
Ahmed Shehzad,2009-2017,81,9,2,1/22,70.00,7.30,57.5,0
Aizaz Cheema,2011-2012,14,14,23,4/43,25.78,5.40,28.6,0
Anwar Ali,2013-2016,22,22,18,3/66,52.44,6.11,51.5,0
Asad Ali,2013-2013,4,4,2,1/22,57.50,3.83,90.0,0
Asad Shafiq,2010-2017,60,2,0,-,-,9.00,-,0
Asif Ali,2018-2018,11,-,-,-,-,-,-,-
Azhar Ali,2011-2018,53,14,4,2/26,65.00,6.04,64.5,0
Babar Azam,2015-2019,59,-,-,-,-,-,-,-
Bilal Asif,2015-2015,3,3,5,5/25,19.20,4.36,26.4,1
Bilawal Bhatti,2013-2015,10,10,6,3/37,73.16,6.44,68.1,0
Ehsan Adil,2013-2015,6,6,4,1/31,55.75,5.94,56.2,0
Faheem Ashraf,2017-2019,18,18,18,5/22,28.05,4.48,37.5,1
Fakhar Zaman,2017-2019,31,6,1,1/19,88.00,4.75,111.0,0
Fawad Alam,2007-2015,38,13,5,1/8,75.40,5.68,79.6,0
Hammad Azam,2011-2015,11,8,2,1/21,84.50,5.12,99.0,0
Haris Sohail,2013-2018,26,15,10,3/45,50.30,5.71,52.8,0
Hasan Ali,2016-2019,44,43,77,5/34,24.18,5.25,27.5,3
Hussain Talat,2019-2019,1,1,0,-,-,8.00,-,0
Iftikhar Ahmed,2015-2015,2,2,1,1/31,49.00,4.90,60.0,0
Iftikhar Anjum,2004-2010,62,60,77,5/30,31.55,4.92,38.4,1
Imad Wasim,2015-2019,36,36,30,5/14,38.40,4.50,51.1,1
Imam-ul-Haq,2017-2019,21,-,-,-,-,-,-,-
Imran Farhat,2001-2013,58,8,6,3/10,18.33,5.68,19.3,0
Junaid Khan,2011-2018,71,71,104,4/12,27.84,5.22,31.9,0
Kamran Akmal,2002-2017,157,-,-,-,-,-,-,-
Khalid Latif,2008-2010,5,-,-,-,-,-,-,-
Misbah-ul-Haq,2002-2015,162,1,0,-,-,7.50,-,0
Mohammad Amir,2009-2019,49,49,60,4/28,31.86,4.74,40.3,0
Mohammad Asif,2005-2010,35,33,41,3/28,32.26,4.50,42.9,0
Mohammad Hafeez,2003-2019,208,168,137,4/41,37.50,4.12,54.5,0
Mohammad Irfan,2010-2016,60,60,83,4/30,30.71,4.91,37.4,0
Mohammad Nawaz,2016-2018,14,14,16,4/42,36.43,5.18,42.1,0
Mohammad Rizwan,2015-2019,27,-,-,-,-,-,-,-
Mohammad Salman,2011-2011,7,-,-,-,-,-,-,-
Mohammad Sami,2001-2015,87,85,121,5/10,29.47,4.99,35.4,1
Mohammad Talha,2014-2014,3,3,4,2/22,36.50,7.18,30.5,0
Mohammad Yousuf,1998-2010,281,2,1,1/0,1.00,3.00,2.0,0
Nasir Jamshed,2008-2015,48,-,-,-,-,-,-,-
Naved-ul-Hasan,2003-2010,74,72,110,6/27,29.28,5.57,31.5,1
Rahat Ali,2012-2016,14,14,18,3/40,36.55,5.81,37.7,0
Raza Hasan,2014-2014,1,1,1,1/68,68.00,6.80,60.0,0
Rumman Raees,2017-2018,9,9,14,3/49,33.14,6.01,33.0,0
Saad Nasim,2015-2015,3,2,0,-,-,7.66,-,0
Saeed Ajmal,2008-2015,113,112,184,5/24,22.72,4.18,32.6,2
Salman Butt,2004-2010,78,6,0,-,-,7.82,-,0
Sami Aslam,2015-2016,4,-,-,-,-,-,-,-
Sarfaraz Ahmed,2007-2019,101,1,0,-,-,7.50,-,0
Shadab Khan,2017-2019,34,33,47,4/28,27.74,4.80,34.6,0
Shaheen Shah Afridi,2018-2019,10,10,19,4/38,19.36,4.78,24.2,0
Shahid Afridi,1996-2015,393,369,393,7/12,34.53,4.62,44.7,9
Shahzaib Hasan,2010-2010,3,-,-,-,-,-,-,-
Sharjeel Khan,2013-2017,25,-,-,-,-,-,-,-
Shoaib Akhtar,1998-2011,158,157,241,6/16,24.70,4.75,31.1,4
Shoaib Malik,1999-2019,279,211,156,4/19,39.11,4.65,50.4,0
Sohaib Maqsood,2013-2016,26,4,1,1/16,42.00,4.66,54.0,0
Sohail Khan,2008-2016,13,13,19,5/55,31.42,5.37,35.0,1
Sohail Tanvir,2007-2014,62,60,71,5/48,36.14,5.22,41.5,1
Tanvir Ahmed,2011-2011,2,2,2,1/38,41.50,8.30,30.0,0
Taufeeq Umar,2001-2011,22,3,1,1/49,85.00,7.08,72.0,0
Umar Akmal,2009-2017,116,-,-,-,-,-,-,-
Umar Amin,2010-2018,16,3,0,-,-,3.42,-,0
Umar Gul,2003-2016,130,128,179,6/42,29.34,5.19,33.8,2
Usman Salahuddin,2011-2011,2,-,-,-,-,-,-,-
Usman Shinwari,2017-2019,12,12,23,5/34,17.47,4.96,21.1,1
Wahab Riaz,2008-2017,79,78,102,5/46,34.34,5.68,36.2,1
Yasir Shah,2011-2018,19,18,19,6/26,42.47,5.09,50.0,1
Younis Khan,2000-2015,265,20,3,1/3,96.00,6.08,94.6,0
Zafar Gohar,2015-2015,1,1,2,2/54,27.00,5.40,30.0,0
Zulfiqar Babar,2014-2015,5,5,4,2/52,61.50,5.02,73.5,0
Zulqarnain Haider,2010-2010,4,-,-,-,-,-,-,-
