Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
CJA Amini,2014-2018,6,6,1,121,24.20,72.89,0,1
CR Amini,2014-2014,2,1,1,3,-,100.00,0,0
D Bau,2016-2017,10,10,1,170,18.88,53.29,0,0
S Bau,2016-2018,16,16,0,315,19.68,62.37,0,1
MD Dai,2014-2018,18,18,2,454,28.37,77.60,0,3
K Doriga,2017-2018,5,5,1,139,34.75,69.15,0,1
WT Gavera,2014-2017,4,1,1,4,-,66.66,0,0
H Hiri,2016-2016,3,3,1,26,13.00,39.39,0,0
GO Jones,2014-2014,2,2,0,47,23.50,62.66,0,0
J Kila,2018-2018,2,2,0,34,17.00,87.17,0,0
VV Morea,2014-2018,13,13,1,313,26.08,68.04,0,3
A Nao,2017-2018,12,10,8,85,42.50,106.25,0,0
N Pokana,2017-2017,5,4,0,9,2.25,24.32,0,0
P Raho,2014-2014,1,-,-,-,-,-,-,-
D Ravu,2017-2018,4,4,1,6,2.00,27.27,0,0
JB Reva,2016-2018,9,7,1,62,10.33,74.69,0,0
L Siaka,2014-2018,16,16,0,290,18.12,76.92,1,0
CA Soper,2016-2018,12,12,2,157,15.70,55.28,0,0
TP Ura,2014-2018,17,17,0,508,29.88,79.49,1,1
A Vala,2014-2018,18,18,0,373,20.72,62.58,0,2
N Vanua,2014-2018,14,11,2,150,16.66,93.16,0,0
JNT Vare,2014-2018,9,9,1,81,10.12,73.63,0,0
