Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
CJA Amini,2014-2018,6,6,189,7,4/27,27.00,4.29,1
CR Amini,2014-2014,2,2,79,3,2/33,26.33,4.38,0
D Bau,2016-2017,10,-,-,-,-,-,-,-
S Bau,2016-2018,16,3,63,2,2/35,31.50,4.84,0
MD Dai,2014-2018,18,18,675,18,3/58,37.50,4.24,0
K Doriga,2017-2018,5,-,-,-,-,-,-,-
WT Gavera,2014-2017,4,4,160,5,3/49,32.00,5.00,0
H Hiri,2016-2016,3,2,30,0,-,-,10.00,0
GO Jones,2014-2014,2,-,-,-,-,-,-,-
J Kila,2018-2018,2,2,19,0,-,-,3.80,0
VV Morea,2014-2018,13,-,-,-,-,-,-,-
A Nao,2017-2018,12,12,435,13,3/40,33.46,4.66,0
N Pokana,2017-2017,5,5,218,0,-,-,6.74,0
P Raho,2014-2014,1,1,32,2,2/32,16.00,4.26,0
D Ravu,2017-2018,4,4,141,0,-,-,5.64,0
JB Reva,2016-2018,9,9,357,13,3/40,27.46,5.28,0
L Siaka,2014-2018,16,7,73,1,1/11,73.00,4.29,0
CA Soper,2016-2018,12,12,489,19,6/41,25.73,5.38,0
TP Ura,2014-2018,17,1,12,0,-,-,12.00,0
A Vala,2014-2018,18,18,425,17,3/20,25.00,3.66,0
N Vanua,2014-2018,14,14,557,24,4/24,23.20,4.90,3
JNT Vare,2014-2018,9,-,-,-,-,-,-,-
