Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
RD Berrington,2008-2018,70,65,6,1597,27.06,71.58,1,11
DE Budge,2018-2018,1,1,0,11,11.00,122.22,0,0
SJ Cameron,2018-2018,2,2,1,9,9.00,69.23,0,0
NM Carter,2013-2013,3,1,0,0,0.00,0.00,0,0
KJ Coetzer,2008-2018,50,48,2,1969,42.80,88.81,4,12
FRJ Coleman,2013-2015,16,14,0,211,15.07,61.33,0,1
MH Cross,2014-2018,43,39,1,865,22.76,78.56,2,2
JH Davey,2010-2017,29,26,5,471,22.42,65.87,0,2
CD de Lange,2016-2017,13,10,4,123,20.50,61.50,0,0
GD Drummond,2007-2013,30,20,7,240,18.46,91.60,0,0
AC Evans,2009-2018,31,15,8,94,13.42,66.19,0,0
R Flannigan,2010-2010,1,1,0,0,0.00,0.00,0,0
HJW Gardiner,2013-2015,11,11,0,262,23.81,66.16,0,2
G Goudie,2008-2013,16,11,3,80,10.00,80.80,0,0
OJ Hairs,2010-2010,5,5,0,68,13.60,68.00,0,0
GM Hamilton,1999-2010,38,38,3,1231,35.17,66.64,2,7
RM Haq,2006-2015,54,40,6,566,16.64,60.79,0,3
RO Hussain,2006-2010,8,8,1,63,9.00,44.05,0,0
MM Iqbal,2009-2014,13,12,4,192,24.00,53.33,0,1
MA Jones,2018-2018,5,5,0,194,38.80,71.58,0,2
MA Leask,2014-2018,30,24,6,435,24.16,109.02,0,3
DR Lockhart,2006-2010,14,11,2,218,24.22,63.92,0,0
RT Lyons,2006-2010,25,14,10,90,22.50,61.22,0,0
NFI McCallum,2006-2011,43,42,6,1002,27.83,69.05,2,4
MW Machan,2013-2016,23,22,0,734,33.36,77.10,1,3
CS MacLeod,2008-2018,57,55,6,1853,37.81,83.31,7,6
GI Maiden,2010-2011,7,6,2,84,21.00,63.15,0,0
PL Mommsen,2010-2017,44,42,6,1115,30.97,69.04,2,6
HG Munsey,2017-2018,16,16,3,381,29.30,72.02,0,1
D Murphy,2013-2013,8,7,2,58,11.60,49.15,0,0
JD Nel,2006-2010,19,10,8,31,15.50,57.40,0,0
MA Parker,2010-2010,10,8,2,59,9.83,56.73,0,0
SM Sharif,2011-2018,36,25,10,211,14.06,70.33,0,0
MQ Sheikh,2008-2010,7,7,1,63,10.50,45.00,0,0
RAJ Smith,2016-2016,2,1,0,10,10.00,166.66,0,0
CB Sole,2016-2018,11,5,0,16,3.20,44.44,0,0
TB Sole,2018-2018,5,2,0,24,12.00,126.31,0,0
JH Stander,2009-2012,5,5,1,44,11.00,58.66,0,0
RML Taylor,2013-2016,15,14,3,154,14.00,89.53,0,0
CD Wallace,2012-2018,22,18,0,328,18.22,94.52,0,3
I Wardlaw,2013-2015,22,14,8,21,3.50,52.50,0,0
RR Watson,2006-2010,35,35,4,956,30.83,74.33,1,6
MRJ Watt,2016-2018,18,12,4,130,16.25,76.47,0,0
DF Watts,2006-2011,36,35,1,974,28.64,62.47,1,9
BTJ Wheal,2016-2018,11,6,3,16,5.33,51.61,0,0
SG Whittingham,2017-2018,4,3,2,6,6.00,66.66,0,0
