Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
KJ Abbott,2013-2016,28,13,4,76,8.44,60.31,0,0
HM Amla,2008-2019,174,171,12,7910,49.74,89.22,27,37
T Bavuma,2016-2017,2,2,0,161,80.50,94.70,1,0
F Behardien,2013-2018,59,49,14,1074,30.68,97.90,0,6
LE Bosman,2006-2010,13,11,0,299,27.18,102.04,0,2
J Botha,2005-2012,76,48,17,578,18.64,83.40,0,0
MV Boucher,1998-2011,290,216,57,4523,28.44,84.66,1,25
CJ Dala,2018-2018,2,2,1,8,8.00,133.33,0,0
H Davids,2013-2013,2,2,0,8,4.00,33.33,0,0
Q de Kock,2013-2019,106,106,5,4602,45.56,95.81,14,21
M de Lange,2012-2016,4,-,-,-,-,-,-,-
AB de Villiers,2005-2018,223,213,39,9427,54.17,101.27,25,52
JP Duminy,2004-2019,194,175,40,5047,37.38,84.39,4,27
F du Plessis,2011-2019,134,128,18,5120,46.54,88.53,11,32
D Elgar,2012-2018,8,7,1,104,17.33,58.75,0,0
HH Gibbs,1996-2010,248,240,16,8094,36.13,83.26,21,37
BE Hendricks,2019-2019,2,1,1,2,-,25.00,0,0
RR Hendricks,2018-2019,18,18,1,455,26.76,76.98,1,2
Imran Tahir,2011-2019,98,32,14,146,8.11,69.85,0,0
CA Ingram,2010-2013,31,29,3,843,32.42,82.32,3,3
C Jonker,2018-2018,2,2,0,31,15.50,93.93,0,0
JH Kallis,1996-2014,323,309,53,11550,45.11,73.13,17,86
H Klaasen,2018-2019,14,13,2,251,22.81,86.25,0,1
RK Kleinveldt,2013-2013,10,7,0,105,15.00,84.67,0,0
CK Langeveldt,2001-2010,72,21,10,73,6.63,58.87,0,0
R McLaren,2009-2014,54,41,15,485,18.65,71.32,0,1
KA Maharaj,2017-2018,4,2,0,25,12.50,96.15,0,0
AK Markram,2017-2019,18,18,1,503,29.58,88.40,0,2
DA Miller,2010-2019,120,106,31,2922,38.96,100.86,5,12
JA Morkel,2004-2012,56,41,10,760,24.51,101.33,0,2
M Morkel,2007-2018,114,45,17,239,8.53,74.45,0,0
CH Morris,2013-2018,34,23,3,393,19.65,97.27,0,1
PWA Mulder,2017-2019,10,8,3,74,14.80,83.14,0,0
L Ngidi,2018-2019,18,7,5,40,20.00,72.72,0,0
A Nortje,2019-2019,4,1,0,8,8.00,44.44,0,0
D Olivier,2019-2019,2,-,-,-,-,-,-,-
JL Ontong,2001-2012,27,15,2,184,14.15,69.43,0,0
WD Parnell,2009-2017,65,38,14,508,21.16,78.39,0,1
D Paterson,2017-2019,4,-,-,-,-,-,-,-
AN Petersen,2006-2013,21,19,1,504,28.00,82.62,0,4
RJ Peterson,2002-2014,79,41,14,556,20.59,80.81,0,1
AM Phangiso,2013-2016,21,13,2,81,7.36,50.00,0,0
AL Phehlukwayo,2016-2019,43,25,12,416,32.00,91.62,0,1
VD Philander,2007-2015,30,19,7,151,12.58,70.89,0,0
D Pretorius,2016-2019,19,8,1,132,18.85,94.96,0,1
K Rabada,2015-2019,66,24,10,201,14.35,76.42,0,0
RR Rossouw,2014-2016,36,35,3,1239,38.71,94.36,3,7
T Shamsi,2016-2019,15,3,2,0,0.00,0.00,0,0
M Shezi,2014-2014,1,-,-,-,-,-,-,-
GC Smith,2002-2013,196,193,10,6989,38.19,80.86,10,47
DW Steyn,2006-2019,123,49,12,361,9.75,65.99,0,1
J Theron,2010-2010,4,1,0,5,5.00,100.00,0,0
LL Tsotsobe,2009-2013,61,21,13,56,7.00,51.37,0,0
HE van der Dussen,2019-2019,9,8,4,353,88.25,75.58,0,4
RE van der Merwe,2009-2010,13,7,3,39,9.75,95.12,0,0
MN van Wyk,2003-2015,17,17,1,425,26.56,68.88,0,4
D Wiese,2015-2016,6,6,1,102,20.40,88.69,0,0
K Zondo,2018-2018,5,5,1,142,35.50,63.39,0,1
