Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
KJ Abbott,2013-2016,28,27,1051,34,4/21,30.91,4.83,2
HM Amla,2008-2019,174,-,-,-,-,-,-,-
T Bavuma,2016-2017,2,-,-,-,-,-,-,-
F Behardien,2013-2018,59,35,719,14,3/19,51.35,5.76,0
LE Bosman,2006-2010,13,-,-,-,-,-,-,-
J Botha,2005-2012,76,73,2816,72,4/19,39.11,4.56,1
MV Boucher,1998-2011,290,-,-,-,-,-,-,-
CJ Dala,2018-2018,2,2,121,1,1/57,121.00,7.11,0
H Davids,2013-2013,2,-,-,-,-,-,-,-
Q de Kock,2013-2019,106,-,-,-,-,-,-,-
M de Lange,2012-2016,4,4,198,10,4/46,19.80,5.68,1
AB de Villiers,2005-2018,223,8,180,7,2/15,25.71,6.00,0
JP Duminy,2004-2019,194,131,3082,68,4/16,45.32,5.34,1
F du Plessis,2011-2019,134,11,189,2,1/8,94.50,5.90,0
D Elgar,2012-2018,8,4,67,2,1/11,33.50,4.18,0
HH Gibbs,1996-2010,248,-,-,-,-,-,-,-
BE Hendricks,2019-2019,2,2,81,1,1/50,81.00,5.06,0
RR Hendricks,2018-2019,18,3,47,1,1/13,47.00,6.71,0
Imran Tahir,2011-2019,98,96,3923,162,7/45,24.21,4.62,6
CA Ingram,2010-2013,31,1,17,0,-,-,17.00,0
C Jonker,2018-2018,2,-,-,-,-,-,-,-
JH Kallis,1996-2014,323,279,8568,269,5/30,31.85,4.83,2
H Klaasen,2018-2019,14,-,-,-,-,-,-,-
RK Kleinveldt,2013-2013,10,10,448,12,4/22,37.33,5.23,1
CK Langeveldt,2001-2010,72,71,2962,100,5/39,29.62,5.09,1
R McLaren,2009-2014,54,51,2102,77,4/19,27.29,5.24,5
KA Maharaj,2017-2018,4,4,166,6,3/25,27.66,5.32,0
AK Markram,2017-2019,18,3,56,2,2/18,28.00,7.00,0
DA Miller,2010-2019,120,-,-,-,-,-,-,-
JA Morkel,2004-2012,56,50,1786,47,4/29,38.00,5.42,2
M Morkel,2007-2018,114,111,4595,180,5/21,25.52,4.94,7
CH Morris,2013-2018,34,33,1415,35,4/31,40.42,5.61,2
PWA Mulder,2017-2019,10,10,308,8,2/59,38.50,5.81,0
L Ngidi,2018-2019,18,18,736,34,4/51,21.64,5.33,2
A Nortje,2019-2019,4,4,150,8,3/57,18.75,4.76,0
D Olivier,2019-2019,2,2,124,3,2/73,41.33,6.52,0
JL Ontong,2001-2012,27,16,396,9,3/30,44.00,4.41,0
WD Parnell,2009-2017,65,61,2738,94,5/48,29.12,5.64,3
D Paterson,2017-2019,4,4,217,4,3/44,54.25,6.22,0
AN Petersen,2006-2013,21,1,7,0,-,-,7.00,0
RJ Peterson,2002-2014,79,74,2680,75,4/12,35.73,4.90,3
AM Phangiso,2013-2016,21,21,829,26,3/40,31.88,4.58,0
AL Phehlukwayo,2016-2019,43,42,1600,54,4/22,29.62,5.62,3
VD Philander,2007-2015,30,28,986,41,4/12,24.04,4.62,2
D Pretorius,2016-2019,19,19,719,24,3/5,29.95,4.88,0
K Rabada,2015-2019,66,65,2802,106,6/16,26.43,4.98,6
RR Rossouw,2014-2016,36,3,44,1,1/17,44.00,5.86,0
T Shamsi,2016-2019,15,15,682,19,4/33,35.89,5.30,1
M Shezi,2014-2014,1,1,8,1,1/8,8.00,1.33,0
GC Smith,2002-2013,196,43,951,18,3/30,52.83,5.56,0
DW Steyn,2006-2019,123,122,5045,194,6/39,26.00,4.88,4
J Theron,2010-2010,4,4,173,12,5/44,14.41,5.35,0
LL Tsotsobe,2009-2013,61,60,2347,94,4/22,24.96,4.75,7
HE van der Dussen,2019-2019,9,-,-,-,-,-,-,-
RE van der Merwe,2009-2010,13,13,561,17,3/27,33.00,4.77,0
MN van Wyk,2003-2015,17,-,-,-,-,-,-,-
D Wiese,2015-2016,6,6,316,9,3/50,35.11,6.44,0
K Zondo,2018-2018,5,-,-,-,-,-,-,-
