Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
MA Aponso,2016-2018,9,7,4,10,3.33,22.22,0,0
HMCM Bandara,2006-2010,31,17,4,160,12.30,71.42,0,0
KMC Bandara,2016-2016,1,1,1,1,-,33.33,0,0
PVD Chameera,2015-2019,23,14,7,93,13.28,62.00,0,0
LD Chandimal,2010-2019,146,132,21,3599,32.42,74.12,4,22
A Dananjaya,2012-2019,34,26,5,283,13.47,69.02,0,1
DM de Silva,2016-2019,32,30,4,681,26.19,77.65,0,4
PC de Silva,2014-2017,7,7,1,94,15.66,83.92,0,0
PWH de Silva,2017-2018,9,7,1,63,10.50,88.73,0,0
N Dickwella,2014-2019,52,49,1,1571,32.72,93.56,2,9
LHD Dilhara,2005-2013,9,9,0,83,9.22,77.57,0,0
TM Dilshan,1999-2016,330,303,41,10290,39.27,86.23,22,47
RMS Eranga,2011-2016,19,11,8,34,11.33,53.12,0,0
AM Fernando,2017-2017,1,-,-,-,-,-,-,-
N Pradeep,2012-2019,34,15,10,27,5.40,42.85,0,0
BOP Fernando,2019-2019,5,5,0,127,25.40,67.19,0,0
CRD Fernando,2001-2012,146,61,35,239,9.19,60.96,0,0
MVT Fernando,2017-2019,8,8,6,30,15.00,49.18,0,0
WIA Fernando,2016-2019,5,5,0,71,14.20,89.87,0,0
PLS Gamage,2014-2017,9,5,3,4,2.00,14.81,0,0
DAS Gunaratne,2016-2019,31,25,4,575,27.38,79.41,1,1
MD Gunathilaka,2015-2019,36,35,1,1102,32.41,84.70,1,8
HMRKB Herath,2004-2015,71,30,15,140,9.33,64.51,0,0
GSNFG Jayasuriya,2015-2018,9,7,1,83,13.83,54.96,0,0
NGRP Jayasuriya,2018-2018,2,2,1,11,11.00,84.61,0,0
ST Jayasuriya,1989-2011,441,429,18,13364,32.51,91.25,28,68
DPMD Jayawardene,1998-2015,443,413,38,12381,33.01,78.67,18,75
S Randiv,2009-2016,31,18,2,280,17.50,73.29,0,1
SHT Kandamby,2004-2014,39,36,6,870,29.00,69.60,0,5
CK Kapugedera,2006-2017,102,84,7,1624,21.09,72.04,0,8
FDM Karunaratne,2011-2015,17,13,1,190,15.83,68.84,0,1
PHT Kaushal,2015-2015,1,1,0,0,0.00,0.00,0,0
CKB Kulasekara,2011-2012,4,3,0,38,12.66,52.77,0,0
KMDN Kulasekara,2003-2017,184,123,37,1327,15.43,81.46,0,4
CBRLS Kumara,2017-2018,8,5,3,16,8.00,43.24,0,0
RAS Lakmal,2009-2018,81,44,19,205,8.20,55.85,0,0
DSK Madushanka,2018-2018,1,1,0,7,7.00,116.66,0,0
LD Madushanka,2017-2017,4,4,1,14,4.66,53.84,0,0
MF Maharoof,2004-2016,109,75,18,1113,19.52,86.01,0,2
SL Malinga,2004-2019,218,113,35,550,7.05,75.65,0,1
AD Mathews,2008-2018,203,173,46,5380,42.36,83.39,2,37
BAW Mendis,2008-2015,87,42,19,188,8.17,71.48,0,0
BKG Mendis,2016-2019,62,60,2,1626,28.03,84.82,1,14
BMAJ Mendis,2010-2015,54,40,10,604,20.13,85.07,0,1
PHKD Mendis,2019-2019,2,2,1,17,17.00,44.73,0,0
J Mubarak,2002-2013,40,37,6,704,22.70,63.13,0,4
EMDY Munaweera,2017-2017,2,2,0,15,7.50,51.72,0,0
M Muralitharan,1993-2011,343,161,63,674,6.87,77.73,0,0
SS Pathirana,2015-2017,18,14,1,332,25.53,86.68,0,1
AK Perera,2013-2019,5,3,0,39,13.00,67.24,0,0
MDK Perera,2007-2018,13,12,0,152,12.66,76.38,0,0
MDKJ Perera,2013-2019,88,83,5,2283,29.26,90.77,4,11
NLTC Perera,2009-2019,153,120,16,2147,20.64,112.34,1,10
PARP Perera,2019-2019,2,2,0,33,16.50,56.89,0,0
KTGD Prasad,2006-2015,24,12,6,129,21.50,88.35,0,0
S Prasanna,2011-2019,40,37,3,421,12.38,94.60,0,2
SMA Priyanjan,2013-2015,23,20,2,420,23.33,80.45,0,2
M Pushpakumara,2009-2010,3,1,1,7,-,36.84,0,0
PM Pushpakumara,2017-2017,2,2,0,11,5.50,42.30,0,0
CAK Rajitha,2018-2019,6,2,1,0,0.00,0.00,0,0
TT Samaraweera,1998-2011,53,42,11,862,27.80,69.29,2,0
S Samarawickrama,2017-2018,6,6,0,132,22.00,87.41,0,1
PADLR Sandakan,2016-2019,20,11,4,31,4.42,35.63,0,0
KC Sangakkara,2000-2015,397,373,40,13975,41.96,78.88,25,90
SMSM Senanayake,2012-2015,49,33,11,290,13.18,93.24,0,0
MD Shanaka,2016-2019,19,16,1,327,21.80,114.33,0,2
LPC Silva,1999-2011,75,62,7,1587,28.85,70.40,1,13
TAM Siriwardana,2015-2017,26,23,1,513,23.31,98.46,0,3
WU Tharanga,2005-2019,234,222,17,6941,33.85,75.99,15,37
HDRL Thirimanne,2010-2017,117,97,12,2946,34.65,71.33,4,20
T Thushara,2008-2010,38,27,6,392,18.66,92.45,0,1
I Udana,2012-2019,5,3,1,110,55.00,115.78,0,1
JDF Vandersay,2015-2017,11,7,1,71,11.83,42.77,0,0
KDK Vithanage,2013-2014,6,6,1,75,15.00,83.33,0,0
DS Weerakkody,2017-2017,3,3,0,73,24.33,110.60,0,1
S Weerakoon,2012-2012,2,-,-,-,-,-,-,-
UWMBCA Welegedara,2009-2010,10,3,2,4,4.00,44.44,0,0
