Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
MA Aponso,2016-2018,9,9,377,10,4/18,37.70,5.34,1
HMCM Bandara,2006-2010,31,28,1232,36,4/31,34.22,5.02,2
KMC Bandara,2016-2016,1,1,83,1,1/83,83.00,8.30,0
PVD Chameera,2015-2019,23,23,796,19,3/20,41.89,5.33,0
LD Chandimal,2010-2019,146,-,-,-,-,-,-,-
A Dananjaya,2012-2019,34,32,1423,48,6/29,29.64,5.16,2
DM de Silva,2016-2019,32,26,584,15,3/41,38.93,5.35,0
PC de Silva,2014-2017,7,7,256,5,2/29,51.20,4.86,0
PWH de Silva,2017-2018,9,9,296,9,3/15,32.88,6.85,0
N Dickwella,2014-2019,52,-,-,-,-,-,-,-
LHD Dilhara,2005-2013,9,8,261,6,2/30,43.50,4.74,0
TM Dilshan,1999-2016,330,204,4778,106,4/4,45.07,4.87,3
RMS Eranga,2011-2016,19,17,686,21,3/46,32.66,5.74,0
AM Fernando,2017-2017,1,1,22,0,-,-,11.00,0
N Pradeep,2012-2019,34,32,1591,38,3/28,41.86,6.13,0
BOP Fernando,2019-2019,5,1,16,0,-,-,8.00,0
CRD Fernando,2001-2012,146,140,5612,183,6/27,30.66,5.22,2
MVT Fernando,2017-2019,8,8,337,5,1/35,67.40,6.80,0
WIA Fernando,2016-2019,5,-,-,-,-,-,-,-
PLS Gamage,2014-2017,9,9,392,9,4/57,43.55,5.85,1
DAS Gunaratne,2016-2019,31,25,723,22,3/10,32.86,5.20,0
MD Gunathilaka,2015-2019,36,17,288,6,3/48,48.00,5.87,0
HMRKB Herath,2004-2015,71,67,2362,74,4/20,31.91,4.37,1
GSNFG Jayasuriya,2015-2018,9,8,150,2,1/15,75.00,5.17,0
NGRP Jayasuriya,2018-2018,2,2,95,0,-,-,5.93,0
ST Jayasuriya,1989-2011,441,365,11737,320,6/29,36.67,4.77,8
DPMD Jayawardene,1998-2015,443,27,544,8,2/56,68.00,5.63,0
S Randiv,2009-2016,31,29,1214,36,5/42,33.72,5.06,0
SHT Kandamby,2004-2014,39,9,173,2,2/37,86.50,5.96,0
CK Kapugedera,2006-2017,102,10,225,2,1/24,112.50,5.11,0
FDM Karunaratne,2011-2015,17,1,11,0,-,-,6.60,0
PHT Kaushal,2015-2015,1,1,25,0,-,-,4.16,0
CKB Kulasekara,2011-2012,4,4,80,0,-,-,6.15,0
KMDN Kulasekara,2003-2017,184,181,6751,199,5/22,33.92,4.90,4
CBRLS Kumara,2017-2018,8,8,396,8,2/34,49.50,7.66,0
RAS Lakmal,2009-2018,81,79,3321,105,4/13,31.62,5.40,3
DSK Madushanka,2018-2018,1,1,26,3,3/26,8.66,4.21,0
LD Madushanka,2017-2017,4,4,172,4,2/70,43.00,7.16,0
MF Maharoof,2004-2016,109,105,3789,135,6/14,28.06,4.89,4
SL Malinga,2004-2019,218,212,9349,322,6/38,29.03,5.33,10
AD Mathews,2008-2018,203,154,3901,114,6/20,34.21,4.61,1
BAW Mendis,2008-2015,87,84,3324,152,6/13,21.86,4.80,7
BKG Mendis,2016-2019,62,2,28,0,-,-,8.40,0
BMAJ Mendis,2010-2015,54,46,1134,28,3/15,40.50,5.08,0
PHKD Mendis,2019-2019,2,2,79,1,1/45,79.00,5.64,0
J Mubarak,2002-2013,40,8,95,2,1/10,47.50,4.41,0
EMDY Munaweera,2017-2017,2,-,-,-,-,-,-,-
M Muralitharan,1993-2011,343,334,12066,523,7/30,23.07,3.92,15
SS Pathirana,2015-2017,18,18,720,15,3/37,48.00,5.64,0
AK Perera,2013-2019,5,3,33,0,-,-,5.50,0
MDK Perera,2007-2018,13,10,409,13,3/48,31.46,5.38,0
MDKJ Perera,2013-2019,88,-,-,-,-,-,-,-
NLTC Perera,2009-2019,153,144,5267,169,6/44,31.16,5.86,5
PARP Perera,2019-2019,2,-,-,-,-,-,-,-
KTGD Prasad,2006-2015,24,24,976,32,3/17,30.50,5.76,0
S Prasanna,2011-2019,40,39,1767,32,3/32,55.21,5.45,0
SMA Priyanjan,2013-2015,23,14,233,5,2/11,46.60,5.27,0
M Pushpakumara,2009-2010,3,1,21,0,-,-,4.20,0
PM Pushpakumara,2017-2017,2,2,105,1,1/40,105.00,5.52,0
CAK Rajitha,2018-2019,6,6,239,5,1/21,47.80,6.66,0
TT Samaraweera,1998-2011,53,17,542,11,3/34,49.27,4.63,0
S Samarawickrama,2017-2018,6,-,-,-,-,-,-,-
PADLR Sandakan,2016-2019,20,19,969,17,4/52,57.00,6.45,1
KC Sangakkara,2000-2015,397,-,-,-,-,-,-,-
SMSM Senanayake,2012-2015,49,47,1874,53,4/13,35.35,4.76,1
MD Shanaka,2016-2019,19,10,219,7,5/43,31.28,6.08,0
LPC Silva,1999-2011,75,2,33,1,1/21,33.00,4.71,0
TAM Siriwardana,2015-2017,26,20,530,9,2/27,58.88,5.39,0
WU Tharanga,2005-2019,234,-,-,-,-,-,-,-
HDRL Thirimanne,2010-2017,117,4,94,3,2/36,31.33,5.42,0
T Thushara,2008-2010,38,38,1393,50,5/47,27.86,4.98,0
I Udana,2012-2019,5,5,186,2,2/50,93.00,6.41,0
JDF Vandersay,2015-2017,11,10,430,10,3/50,43.00,5.74,0
KDK Vithanage,2013-2014,6,2,17,0,-,-,8.50,0
DS Weerakkody,2017-2017,3,-,-,-,-,-,-,-
S Weerakoon,2012-2012,2,1,49,1,1/49,49.00,4.90,0
UWMBCA Welegedara,2009-2010,10,9,433,15,5/66,28.86,5.68,0
