Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
Abdul Shakoor,2015-2018,3,3,0,54,18.00,52.94,0,0
Adnan Mufti,2017-2018,18,16,4,330,27.50,80.68,0,1
Ahmed Raza,2014-2018,25,22,4,232,12.88,55.50,0,1
Amir Hayat,2018-2019,9,6,3,31,10.33,42.46,0,0
Amjad Ali,2008-2015,17,17,0,520,30.58,76.47,0,3
Amjad Javed,2008-2017,15,13,1,239,19.91,89.51,0,1
Ashfaq Ahmed,2018-2019,12,12,0,325,27.08,96.43,0,2
Asif Iqbal,2015-2015,1,1,0,8,8.00,100.00,0,0
AR Berenger,2014-2015,10,10,0,205,20.50,67.43,0,2
Chirag Suri,2018-2019,8,8,0,138,17.25,48.93,0,1
Fahad Alhashmi,2008-2015,5,3,0,0,0.00,0.00,0,0
Fahad Nawaz,2019-2019,2,2,0,2,1.00,20.00,0,0
Fayyaz Ahmed,2014-2016,3,3,2,47,47.00,47.00,0,0
Ghulam Shabber,2017-2019,19,19,0,424,22.31,63.18,0,3
AM Guruge,2014-2015,7,4,4,16,-,55.17,0,0
Imran Haider,2017-2019,16,10,6,44,11.00,44.00,0,0
Irfan Sajid,2014-2014,1,1,0,2,2.00,40.00,0,0
Kamran Shazad,2014-2015,4,3,1,22,11.00,88.00,0,0
Khurram Khan,2004-2015,16,16,2,582,41.57,80.27,1,3
Krishna Chandran,2014-2016,12,10,2,134,16.75,48.90,0,0
Mohammad Boota,2018-2019,7,7,1,140,23.33,86.95,0,1
Mohammad Naveed,2014-2019,35,30,10,369,18.45,124.24,0,0
Mohammad Shahzad,2014-2016,6,6,0,190,31.66,84.44,0,2
Mohammad Tauqir,2004-2015,11,9,2,95,13.57,57.92,0,1
Mohammed Qasim,2017-2017,5,5,0,94,18.80,50.00,0,0
Muhammad Usman,2016-2019,23,23,2,541,25.76,79.44,0,2
Nasir Aziz,2014-2015,5,3,0,82,27.33,65.60,0,1
SP Patil,2014-2015,13,12,2,263,26.30,65.09,0,2
Y Punja,2015-2015,1,1,0,1,1.00,16.66,0,0
Qadeer Ahmed,2015-2019,8,4,2,6,3.00,28.57,0,0
Rameez Shahzad,2016-2018,15,15,2,691,53.15,84.57,2,4
CP Rizwan,2019-2019,2,2,0,61,30.50,59.22,0,0
Rohan Mustafa,2014-2018,27,27,0,642,23.77,71.65,1,1
Salman Faris,2014-2014,3,3,0,43,14.33,54.43,0,0
Salman Farooq,2014-2014,1,-,-,-,-,-,-,-
Saqib Ali,2008-2014,5,5,1,84,21.00,65.11,0,0
Saqlain Haider,2014-2016,5,4,0,58,14.50,75.32,0,0
Shaiman Anwar,2014-2019,36,36,1,1107,31.62,82.85,1,10
V Shetty,2008-2014,2,2,0,16,8.00,55.17,0,0
L Sreekumar,2015-2016,4,4,0,61,15.25,83.56,0,0
Umair Ali,2015-2015,2,2,0,20,10.00,66.66,0,0
Usman Mushtaq,2015-2015,1,1,0,3,3.00,42.85,0,0
Zaheer Maqsood,2015-2015,2,2,2,13,-,28.26,0,0
Zahoor Khan,2017-2019,12,8,3,33,6.60,61.11,0,0
