Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
Abdul Shakoor,2015-2018,3,-,-,-,-,-,-,-
Adnan Mufti,2017-2018,18,-,-,-,-,-,-,-
Ahmed Raza,2014-2018,25,25,914,25,4/37,36.56,4.13,1
Amir Hayat,2018-2019,9,9,382,11,3/19,34.72,5.10,0
Amjad Ali,2008-2015,17,-,-,-,-,-,-,-
Amjad Javed,2008-2017,15,15,608,9,3/60,67.55,5.90,0
Ashfaq Ahmed,2018-2019,12,6,162,4,2/55,40.50,4.88,0
Asif Iqbal,2015-2015,1,1,32,0,-,-,8.00,0
AR Berenger,2014-2015,10,-,-,-,-,-,-,-
Chirag Suri,2018-2019,8,-,-,-,-,-,-,-
Fahad Alhashmi,2008-2015,5,5,202,6,2/39,33.66,5.41,0
Fahad Nawaz,2019-2019,2,-,-,-,-,-,-,-
Fayyaz Ahmed,2014-2016,3,3,121,0,-,-,4.48,0
Ghulam Shabber,2017-2019,19,-,-,-,-,-,-,-
AM Guruge,2014-2015,7,7,337,12,4/56,28.08,5.76,1
Imran Haider,2017-2019,16,16,706,30,4/25,23.53,5.11,2
Irfan Sajid,2014-2014,1,1,23,0,-,-,4.60,0
Kamran Shazad,2014-2015,4,4,209,7,3/41,29.85,5.64,0
Khurram Khan,2004-2015,16,11,432,12,4/32,36.00,5.20,1
Krishna Chandran,2014-2016,12,11,431,7,3/45,61.57,6.18,0
Mohammad Boota,2018-2019,7,1,10,0,-,-,5.00,0
Mohammad Naveed,2014-2019,35,35,1635,50,5/28,32.70,5.50,0
Mohammad Shahzad,2014-2016,6,6,233,9,4/26,25.88,5.82,1
Mohammad Tauqir,2004-2015,11,11,383,9,2/38,42.55,4.68,0
Mohammed Qasim,2017-2017,5,3,71,2,1/13,35.50,3.55,0
Muhammad Usman,2016-2019,23,-,-,-,-,-,-,-
Nasir Aziz,2014-2015,5,5,257,3,1/50,85.66,5.84,0
SP Patil,2014-2015,13,-,-,-,-,-,-,-
Y Punja,2015-2015,1,1,49,0,-,-,8.16,0
Qadeer Ahmed,2015-2019,8,8,352,6,2/38,58.66,5.41,0
Rameez Shahzad,2016-2018,15,1,16,0,-,-,8.00,0
CP Rizwan,2019-2019,2,1,10,0,-,-,15.00,0
Rohan Mustafa,2014-2018,27,26,988,28,5/25,35.28,4.69,1
Salman Faris,2014-2014,3,-,-,-,-,-,-,-
Salman Farooq,2014-2014,1,1,23,0,-,-,3.83,0
Saqib Ali,2008-2014,5,2,57,1,1/44,57.00,5.70,0
Saqlain Haider,2014-2016,5,-,-,-,-,-,-,-
Shaiman Anwar,2014-2019,36,6,124,3,3/61,41.33,7.01,0
V Shetty,2008-2014,2,-,-,-,-,-,-,-
L Sreekumar,2015-2016,4,-,-,-,-,-,-,-
Umair Ali,2015-2015,2,2,125,1,1/65,125.00,6.94,0
Usman Mushtaq,2015-2015,1,1,9,0,-,-,4.50,0
Zaheer Maqsood,2015-2015,2,2,116,4,2/56,29.00,5.80,0
Zahoor Khan,2017-2019,12,12,506,25,6/34,20.24,5.67,0
