Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
FA Allen,2018-2018,4,4,0,25,6.25,48.07,0,0
SW Ambris,2017-2017,1,1,1,38,-,140.74,0,0
AB Barath,2010-2012,14,14,1,394,30.30,64.37,1,1
CS Baugh,2003-2012,47,35,11,482,20.08,67.03,0,0
RR Beaton,2017-2017,2,2,1,15,15.00,29.41,0,0
SJ Benn,2008-2016,47,30,7,182,7.91,75.83,0,0
DE Bernard,2003-2010,20,12,2,141,14.10,64.38,0,0
TL Best,2004-2014,26,16,8,76,9.50,60.80,0,0
D Bishoo,2011-2019,42,25,10,164,10.93,62.35,0,0
J Blackwood,2015-2015,2,2,0,11,5.50,47.82,0,0
CR Brathwaite,2011-2019,33,29,2,389,14.40,86.06,0,1
KC Brathwaite,2016-2017,10,10,0,278,27.80,57.55,0,1
DJ Bravo,2004-2014,164,141,24,2968,25.36,82.30,2,10
DM Bravo,2009-2019,102,98,11,2784,32.00,70.05,3,18
JD Campbell,2019-2019,5,4,0,69,17.25,89.61,0,0
JL Carter,2015-2017,28,25,2,524,22.78,68.58,0,3
S Chanderpaul,1994-2011,268,251,40,8778,41.60,70.74,11,59
J Charles,2012-2016,48,48,0,1283,26.72,83.80,2,4
RL Chase,2017-2018,11,9,1,117,14.62,64.28,0,0
SS Cottrell,2015-2019,10,5,3,14,7.00,58.33,0,0
ML Cummins,2014-2017,11,3,1,10,5.00,37.03,0,0
N Deonarine,2005-2015,31,29,3,682,26.23,68.95,0,4
TM Dowlin,2009-2010,11,11,2,228,25.33,65.51,1,1
KA Edwards,2011-2014,16,16,2,331,23.64,67.00,1,0
ADS Fletcher,2008-2016,25,25,0,354,14.16,64.48,0,2
ST Gabriel,2016-2017,18,13,7,21,3.50,39.62,0,0
CH Gayle,1999-2019,286,280,17,10096,38.38,87.10,25,50
C Hemraj,2018-2018,6,6,0,82,13.66,83.67,0,0
SO Hetmyer,2017-2019,25,24,2,899,40.86,110.30,4,2
WW Hinds,1999-2010,119,111,10,2880,28.51,65.55,5,14
JO Holder,2013-2019,90,73,17,1471,26.26,93.45,0,7
KA Hope,2017-2017,7,6,0,138,23.00,71.87,0,0
SD Hope,2016-2019,49,45,6,1777,45.56,72.38,4,8
DP Hyatt,2011-2011,9,9,1,112,14.00,59.57,0,0
LR Johnson,2008-2015,6,6,0,98,16.33,56.00,0,1
AS Joseph,2016-2018,16,8,5,104,34.66,85.95,0,0
E Lewis,2016-2018,35,32,1,1010,32.58,82.31,2,3
OC McCoy,2018-2018,2,1,1,0,-,0.00,0,0
A Martin,2011-2011,9,6,5,10,10.00,34.48,0,0
NO Miller,2008-2018,50,27,13,284,20.28,79.10,0,1
JN Mohammed,2011-2018,28,24,1,551,23.95,69.30,0,4
RS Morton,2002-2010,56,51,6,1519,33.75,66.36,2,10
SP Narine,2011-2016,65,45,12,363,11.00,82.31,0,0
AR Nurse,2016-2019,45,36,13,449,19.52,98.03,0,0
KMA Paul,2018-2018,11,9,2,115,16.42,75.65,0,0
V Permaul,2012-2017,7,4,1,19,6.33,73.07,0,0
KA Pollard,2007-2016,101,95,6,2289,25.71,92.89,3,9
N Pooran,2019-2019,1,1,0,0,0.00,0.00,0,0
KOA Powell,2009-2018,46,44,0,1005,22.84,78.63,0,9
R Powell,2016-2018,34,31,3,670,23.92,83.12,1,2
D Ramdin,2005-2016,139,110,22,2200,25.00,80.35,2,8
R Rampaul,2003-2015,92,40,11,362,12.48,76.69,0,1
DM Richards,2009-2010,8,7,0,179,25.57,71.31,0,2
KAJ Roach,2008-2018,80,52,32,276,13.80,53.59,0,0
AD Russell,2011-2018,52,44,9,998,28.51,130.45,0,4
DJG Sammy,2004-2015,126,105,30,1871,24.94,100.05,0,9
MN Samuels,2000-2018,207,196,26,5606,32.97,75.11,10,30
RR Sarwan,2000-2013,181,169,33,5804,42.67,75.74,5,38
LMP Simmons,2006-2015,68,65,3,1958,31.58,73.05,2,16
DR Smith,2004-2015,105,89,5,1560,18.57,92.69,0,8
DS Smith,2003-2013,47,45,2,1059,24.62,70.31,1,5
JE Taylor,2003-2017,90,42,9,278,8.42,86.06,0,0
DC Thomas,2009-2013,21,19,2,238,14.00,65.38,0,0
O Thomas,2018-2019,9,3,1,0,0.00,0.00,0,0
CAK Walton,2009-2017,9,8,0,53,6.62,61.62,0,0
KOK Williams,2017-2018,8,5,4,19,19.00,70.37,0,0
