Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
FA Allen,2018-2018,4,4,0,-,-,5.69,-,0
SW Ambris,2017-2017,1,-,-,-,-,-,-,-
AB Barath,2010-2012,14,-,-,-,-,-,-,-
CS Baugh,2003-2012,47,-,-,-,-,-,-,-
RR Beaton,2017-2017,2,2,1,1/60,102.00,6.00,102.0,0
SJ Benn,2008-2016,47,46,39,4/18,49.05,4.80,61.2,0
DE Bernard,2003-2010,20,17,14,3/32,37.57,5.05,44.5,0
TL Best,2004-2014,26,26,34,4/35,34.02,5.34,38.2,0
D Bishoo,2011-2019,42,40,38,3/30,43.89,4.94,53.2,0
J Blackwood,2015-2015,2,1,0,-,-,5.33,-,0
CR Brathwaite,2011-2019,33,31,31,5/27,43.61,5.48,47.7,1
KC Brathwaite,2016-2017,10,5,1,1/56,140.00,5.52,152.0,0
DJ Bravo,2004-2014,164,150,199,6/43,29.51,5.41,32.7,1
DM Bravo,2009-2019,102,-,-,-,-,-,-,-
JD Campbell,2019-2019,5,1,0,-,-,13.00,-,0
JL Carter,2015-2017,28,11,3,2/14,47.00,6.82,41.3,0
S Chanderpaul,1994-2011,268,28,14,3/18,45.42,5.15,52.8,0
J Charles,2012-2016,48,1,0,-,-,14.40,-,0
RL Chase,2017-2018,11,7,3,2/47,49.66,5.55,53.6,0
SS Cottrell,2015-2019,10,9,15,5/46,26.80,6.21,25.8,1
ML Cummins,2014-2017,11,9,9,3/82,52.66,6.32,50.0,0
N Deonarine,2005-2015,31,20,6,2/18,79.16,5.68,83.5,0
TM Dowlin,2009-2010,11,-,-,-,-,-,-,-
KA Edwards,2011-2014,16,-,-,-,-,-,-,-
ADS Fletcher,2008-2016,25,3,0,-,-,5.57,-,0
ST Gabriel,2016-2017,18,18,23,3/17,34.00,5.59,36.4,0
CH Gayle,1999-2019,286,193,165,5/46,35.07,4.76,44.1,1
C Hemraj,2018-2018,6,1,0,-,-,7.71,-,0
SO Hetmyer,2017-2019,25,-,-,-,-,-,-,-
WW Hinds,1999-2010,119,34,28,3/24,29.89,5.31,33.7,0
JO Holder,2013-2019,90,88,119,5/27,33.05,5.54,35.7,2
KA Hope,2017-2017,7,-,-,-,-,-,-,-
SD Hope,2016-2019,49,-,-,-,-,-,-,-
DP Hyatt,2011-2011,9,-,-,-,-,-,-,-
LR Johnson,2008-2015,6,-,-,-,-,-,-,-
AS Joseph,2016-2018,16,15,24,5/56,34.08,6.48,31.5,1
E Lewis,2016-2018,35,-,-,-,-,-,-,-
OC McCoy,2018-2018,2,2,4,2/38,27.25,7.78,21.0,0
A Martin,2011-2011,9,9,11,4/36,26.90,4.00,40.3,0
NO Miller,2008-2018,50,46,45,4/43,36.88,4.68,47.2,0
JN Mohammed,2011-2018,28,8,0,-,-,5.38,-,0
RS Morton,2002-2010,56,1,0,-,-,2.00,-,0
SP Narine,2011-2016,65,65,92,6/27,26.46,4.12,38.4,2
AR Nurse,2016-2019,45,42,42,4/62,43.26,5.16,50.2,0
KMA Paul,2018-2018,11,11,11,2/29,45.27,5.88,46.1,0
V Permaul,2012-2017,7,7,8,3/40,33.87,4.91,41.3,0
KA Pollard,2007-2016,101,70,50,3/27,39.12,5.74,40.8,0
N Pooran,2019-2019,1,-,-,-,-,-,-,-
KOA Powell,2009-2018,46,-,-,-,-,-,-,-
R Powell,2016-2018,34,13,3,1/7,81.00,5.95,81.6,0
D Ramdin,2005-2016,139,-,-,-,-,-,-,-
R Rampaul,2003-2015,92,88,117,5/49,29.35,5.10,34.4,2
DM Richards,2009-2010,8,-,-,-,-,-,-,-
KAJ Roach,2008-2018,80,79,114,6/27,29.05,5.00,34.7,3
AD Russell,2011-2018,52,51,65,4/35,32.73,5.86,33.4,0
DJG Sammy,2004-2015,126,119,81,4/26,47.54,4.66,61.1,0
MN Samuels,2000-2018,207,134,89,3/12,46.37,4.86,57.2,0
RR Sarwan,2000-2013,181,25,16,3/31,36.62,6.05,36.3,0
LMP Simmons,2006-2015,68,12,1,1/3,172.00,6.61,156.0,0
DR Smith,2004-2015,105,73,61,5/45,37.45,5.02,44.6,1
DS Smith,2003-2013,47,2,0,-,-,6.00,-,0
JE Taylor,2003-2017,90,88,128,5/48,29.53,5.22,33.9,1
DC Thomas,2009-2013,21,1,2,2/11,5.50,9.42,3.5,0
O Thomas,2018-2019,9,8,15,5/21,27.53,7.22,22.8,1
CAK Walton,2009-2017,9,-,-,-,-,-,-,-
KOK Williams,2017-2018,8,7,9,4/43,32.55,5.32,36.6,0
