Player,Span,Matches,Innings,NO,Runs,Average,Strike Rate,100,50
AM Blignaut,1999-2010,54,41,8,626,18.96,106.28,0,5
RP Burl,2017-2018,13,11,2,139,15.44,62.05,0,0
RW Chakabva,2008-2015,34,31,1,454,15.13,55.84,0,0
BB Chari,2015-2018,10,10,0,131,13.10,42.95,0,0
TL Chatara,2013-2018,62,41,17,159,6.62,48.62,0,0
CJ Chibhabha,2005-2018,103,103,2,2389,23.65,63.13,0,16
E Chigumbura,2004-2018,210,195,26,4289,25.37,79.78,2,19
MT Chinouya,2013-2013,2,2,1,6,6.00,75.00,0,0
TS Chisoro,2015-2018,18,15,6,134,14.88,61.46,0,0
CK Coventry,2003-2015,39,35,1,831,24.44,88.68,1,3
AG Cremer,2009-2018,96,71,20,744,14.58,62.20,0,1
KM Dabengwa,2005-2010,37,34,7,514,19.03,60.39,0,0
CR Ervine,2010-2018,84,81,11,2176,31.08,73.93,2,12
GW Flower,1992-2010,221,214,18,6571,33.52,67.58,6,40
KM Jarvis,2009-2018,40,28,7,153,7.28,57.95,0,0
LM Jongwe,2014-2016,22,19,3,236,14.75,77.88,0,0
R Kaia,2015-2015,1,-,-,-,-,-,-,-
TP Kamungozi,2006-2015,14,11,6,27,5.40,49.09,0,0
TS Kamunhukamwe,2018-2018,2,2,0,37,18.50,75.51,0,0
GA Lamb,2010-2011,15,14,3,197,17.90,51.70,0,0
N Madziva,2014-2016,12,12,3,67,7.44,48.55,0,0
T Maruma,2007-2016,17,16,0,157,9.81,51.30,0,0
H Masakadza,2001-2018,204,203,4,5604,28.16,73.56,5,34
SW Masakadza,2010-2014,16,11,3,170,21.25,96.04,0,0
WP Masakadza,2015-2018,17,10,1,53,5.88,42.40,0,0
PS Masvaure,2018-2018,2,2,0,40,20.00,66.66,0,0
S Matsikenyeri,2002-2015,113,110,9,2224,22.01,72.39,0,13
B Mavuta,2018-2018,5,5,1,52,13.00,110.63,0,0
TMK Mawoyo,2006-2014,7,7,0,58,8.28,36.25,0,0
KO Meth,2006-2012,11,8,0,106,13.25,57.92,0,1
SF Mire,2014-2018,40,40,0,840,21.00,82.75,1,3
PJ Moor,2014-2018,42,39,3,698,19.38,64.09,0,3
CB Mpofu,2004-2018,80,39,19,46,2.30,23.23,0,0
CT Mumba,2016-2017,2,2,1,3,3.00,42.85,0,0
T Mupariwa,2004-2016,40,32,10,185,8.40,56.92,0,0
R Murray,2018-2018,5,5,1,108,27.00,60.67,0,0
TK Musakanda,2016-2018,15,15,1,304,21.71,79.58,0,1
N M'shangwe,2011-2014,6,6,1,38,7.60,84.44,0,0
F Mutizwa,2009-2011,17,15,2,403,31.00,80.27,0,4
CT Mutombodzi,2013-2015,11,10,1,112,12.44,70.00,0,0
R Mutumbami,2014-2016,31,29,2,552,20.44,71.04,0,3
B Muzarabani,2018-2018,18,15,7,16,2.00,17.97,0,0
T Muzarabani,2015-2016,8,7,3,12,3.00,30.00,0,0
N Ncube,2011-2011,1,1,1,0,-,-,0,0
R Ngarava,2017-2018,9,6,1,14,2.80,46.66,0,0
IA Nicolson,2010-2010,2,2,0,14,7.00,63.63,0,0
J Nyumbu,2014-2015,19,14,4,46,4.60,51.68,0,0
T Panyangara,2004-2016,65,49,13,239,6.63,51.61,0,0
RW Price,2002-2012,102,59,17,406,9.66,57.91,0,0
EC Rainsford,2004-2010,39,23,13,55,5.50,41.04,0,0
LN Roche,2018-2018,3,2,0,4,2.00,40.00,0,0
V Sibanda,2003-2016,125,124,4,2914,24.28,63.15,2,21
Sikandar Raza,2013-2018,88,85,13,2477,34.40,80.94,3,13
T Taibu,2001-2012,149,136,21,3383,29.41,67.82,2,22
BRM Taylor,2004-2018,188,187,15,6156,35.79,76.14,10,36
DT Tiripano,2014-2018,24,18,5,199,15.30,57.84,0,0
P Utseya,2004-2015,164,132,48,1406,16.73,58.34,0,4
BV Vitori,2011-2018,24,14,3,86,7.81,95.55,0,0
MN Waller,2009-2018,79,72,6,1259,19.07,76.81,0,5
SC Williams,2005-2018,122,118,16,3395,33.28,81.23,2,29
C Zhuwao,2008-2018,9,9,0,154,17.11,116.66,0,0
