Player,Span,Matches,Innings,Wickets,Best figures,Average,Economy Rate,Strike Rate,5Wkt Haul
AM Blignaut,1999-2010,54,53,2063,50,4/43,41.26,5.27,2
RP Burl,2017-2018,13,5,81,2,1/2,40.50,5.92,0
RW Chakabva,2008-2015,34,-,-,-,-,-,-,-
BB Chari,2015-2018,10,-,-,-,-,-,-,-
TL Chatara,2013-2018,62,62,2636,85,4/33,31.01,5.20,1
CJ Chibhabha,2005-2018,103,58,1615,35,4/25,46.14,5.81,1
E Chigumbura,2004-2018,210,129,4057,95,4/28,42.70,5.84,1
MT Chinouya,2013-2013,2,2,50,1,1/36,50.00,4.54,0
TS Chisoro,2015-2018,18,16,556,20,3/16,27.80,4.34,0
CK Coventry,2003-2015,39,-,-,-,-,-,-,-
AG Cremer,2009-2018,96,95,3597,119,6/46,30.22,4.61,4
KM Dabengwa,2005-2010,37,35,936,23,3/15,40.69,5.06,0
CR Ervine,2010-2018,84,-,-,-,-,-,-,-
GW Flower,1992-2010,221,156,4225,104,4/32,40.62,4.64,2
KM Jarvis,2009-2018,40,40,1812,45,4/37,40.26,5.61,1
LM Jongwe,2014-2016,22,22,759,25,5/6,30.36,5.27,0
R Kaia,2015-2015,1,-,-,-,-,-,-,-
TP Kamungozi,2006-2015,14,13,548,12,2/36,45.66,5.16,0
TS Kamunhukamwe,2018-2018,2,-,-,-,-,-,-,-
GA Lamb,2010-2011,15,15,467,12,3/45,38.91,4.36,0
N Madziva,2014-2016,12,12,519,20,4/49,25.95,5.98,1
T Maruma,2007-2016,17,9,230,4,2/50,57.50,6.13,0
H Masakadza,2001-2018,204,84,1622,39,3/39,41.58,5.32,0
SW Masakadza,2010-2014,16,16,891,25,4/46,35.64,6.75,3
WP Masakadza,2015-2018,17,16,734,21,4/21,34.95,5.12,1
PS Masvaure,2018-2018,2,1,19,0,-,-,6.33,0
S Matsikenyeri,2002-2015,113,38,778,16,2/25,48.62,5.07,0
B Mavuta,2018-2018,5,5,220,5,2/48,44.00,5.64,0
TMK Mawoyo,2006-2014,7,-,-,-,-,-,-,-
KO Meth,2006-2012,11,9,419,6,2/52,69.83,6.19,0
SF Mire,2014-2018,40,16,433,7,3/49,61.85,6.23,0
PJ Moor,2014-2018,42,-,-,-,-,-,-,-
CB Mpofu,2004-2018,80,79,3407,88,6/52,38.71,5.42,2
CT Mumba,2016-2017,2,2,67,0,-,-,6.48,0
T Mupariwa,2004-2016,40,40,1690,57,4/39,29.64,5.02,3
R Murray,2018-2018,5,-,-,-,-,-,-,-
TK Musakanda,2016-2018,15,1,11,0,-,-,5.50,0
N M'shangwe,2011-2014,6,6,260,3,2/50,86.66,4.64,0
F Mutizwa,2009-2011,17,-,-,-,-,-,-,-
CT Mutombodzi,2013-2015,11,9,278,6,2/33,46.33,5.36,0
R Mutumbami,2014-2016,31,-,-,-,-,-,-,-
B Muzarabani,2018-2018,18,18,733,18,4/47,40.72,5.59,1
T Muzarabani,2015-2016,8,8,262,7,2/32,37.42,4.86,0
N Ncube,2011-2011,1,1,69,3,3/69,23.00,7.81,0
R Ngarava,2017-2018,9,9,409,8,2/37,51.12,6.50,0
IA Nicolson,2010-2010,2,2,118,2,1/44,59.00,9.83,0
J Nyumbu,2014-2015,19,18,738,17,3/42,43.41,5.24,0
T Panyangara,2004-2016,65,65,3024,65,3/28,46.52,5.59,0
RW Price,2002-2012,102,99,3575,100,4/22,35.75,3.99,1
EC Rainsford,2004-2010,39,39,1401,45,5/36,31.13,4.40,1
LN Roche,2018-2018,3,3,157,2,1/54,78.50,6.82,0
V Sibanda,2003-2016,125,9,204,3,1/12,68.00,5.58,0
Sikandar Raza,2013-2018,88,62,1999,53,3/21,37.71,4.84,0
T Taibu,2001-2012,149,2,61,2,2/42,30.50,4.35,0
BRM Taylor,2004-2018,188,21,406,9,3/54,45.11,6.15,0
DT Tiripano,2014-2018,24,22,885,20,5/63,44.25,5.88,0
P Utseya,2004-2015,164,160,6239,133,5/36,46.90,4.36,2
BV Vitori,2011-2018,24,24,1149,32,5/20,35.90,5.77,0
MN Waller,2009-2018,79,30,566,10,2/44,56.60,5.09,0
SC Williams,2005-2018,122,98,3008,60,3/15,50.13,4.91,0
C Zhuwao,2008-2018,9,2,21,0,-,-,6.63,0
